Index	Sentence	Surprisal	PPL
0	beekeeping conservation of encourages habitats local the.	98.41528511047363	5.5108077235867344e+42
1	in every it is interest beekeeper's to conserve plants local that pollen produce.	118.25335121154785	2.2739342221430708e+51
2	a as agriculture passive of form it does require not that native vegetation be cleared to make for way crops.	140.78876447677612	1.392462558016533e+61
3	discourage the beekeepers also of use pesticides on because crops they kill could the honeybees.	127.24426746368408	1.8259261705402249e+55
4	go to artisanal beekeepers for extremes their craft their but product worth is the effort.	129.23492431640625	1.3366401422359043e+56
5	emphasizes quality artisanal honey-making character and quantity over consistency and.	103.73407745361328	1.1249608880578492e+45
6	the to finest produce beekeepers honey micromanagers become their honeybees of.	125.3688268661499	2.7989150066832576e+54
7	the fields they scout when know nectar flows and select the ways best to honey extract.	125.0696849822998	2.0752672916118905e+54
8	beekeeper opens as the hive the the deep of hum 40000 fills bees the air.	148.02640914916992	1.9366568194297758e+64
9	checks the honey beekeeper pollen stores and supplies bee nursery the.	104.8920464515686	3.581269214731415e+45
10	across his bees crawl arms bare and hands they but don't because sting they're gentle.	138.7060317993164	1.7348591346056226e+60
11	a recurring i have about dream exams even i'm though no in longer college.	132.8164415359497	4.8022820657110146e+57
12	my in day dream the it's of my exam final and i suddenly realize i've never gone class to.	140.62150955200195	1.1780009354923102e+61
13	even done i've of never any reading the assignments.	92.29082441329956	1.2061345913604213e+40
14	many other i know who people the have nightmare same.	93.28763580322266	3.2681761710696577e+40
15	morning each study participants the in had to down write their dream experience the from previous night.	152.62197494506836	1.9181454493729036e+66
16	if they they recorded any recalled dreams and each described dream its and emotional intensity.	123.28652286529541	3.488643353133291e+53
17	then participants to assigned dream each a category as such a flying dream a bad dream or nightmare a.	155.58514404296875	3.713381111380169e+67
18	while we every night our sleep minds are active as as we when are awake.	106.47261714935303	1.7396829285095348e+46
19	throughout we the dream in night of cycles ninety minutes about each.	118.31161499023438	2.4103579116597996e+51
20	stories and images feelings combinations strange of characters places and can our fill dreams.	135.21543836593628	5.288332465595011e+58
21	decided to when i playing start cards things from went bad worse to.	136.2011318206787	1.4170983054063729e+59
22	was gambling to something had i do and had i already spent close $10000 to doing it.	130.5880823135376	5.172298148333799e+56
23	were my sick friends watching of gamble me savings away my.	112.5470085144043	7.560399635932273e+48
24	hardest the horror part the was of leaving casino a after losing money did i not have.	149.7556071281433	1.091525308382692e+65
25	on the good data and social economic effects of legalized gambling hard are to by come.	121.67413902282715	6.956762354297472e+52
26	indicate that some studies a having casino nearby gambling makes problems likely more.	128.79547309875488	8.613174796367126e+55
27	also gambling be may with associated bankruptcies personal marriage problems and.	116.97688579559326	6.344771867879056e+50
28	past generation over the has there been a expansion dramatic of gambling legalized.	115.75825500488281	1.87573457340179e+50
29	have most instituted states and lotteries have many as well casinos.	102.34947204589844	2.817156249988046e+44
30	gambling very big has controversial but become business.	86.9512882232666	5.78714907443364e+37
31	from the the wind shook hurricane the house a shattering window the in kitchen.	117.46946239471436	1.038339343687905e+51
32	in grabbed we ran food some slammed the door and surrendered kitchen the to hurricane the.	146.7307949066162	5.301204442232236e+63
33	afraid i our was would house ripped be its foundation from.	117.70332098007202	1.3119062568213405e+51
34	night with later that wind the shaking the house we fell huddled asleep on sofa the.	138.289213180542	1.1435158563595498e+60
35	tear limbs hurricanes can of off trees and houses suck off foundations their.	140.38098049163818	9.261582329681118e+60
36	heavy rains they dump can that floods trigger mudslides and.	96.10455751419067	5.4661181430122645e+41
37	also bring hurricanes can storm a surge a wall of ocean that water lurches land onto.	129.5423984527588	1.817811391078883e+56
38	several scientists methods use look to evidence for ancient hurricanes of.	111.31949186325073	2.2153433428350634e+48
39	storms deposited the strongest of layers windblown beach at sand the of bottoms coastal lakes.	149.50267791748047	8.475943426749554e+64
40	by passing trees drenched preserve hurricanes a record each of storm their in growth rings.	160.7007350921631	6.18646397550936e+69
41	cream is american ice around exported the world different but countries different have preferences.	130.0192108154297	2.9283689854001237e+56
42	enjoy their many people cream ice with flavored delicacies local.	102.94469833374023	5.10874737464406e+44
43	tropical places in some ice vanilla cream is with topped bananas fresh and mangos.	131.73016357421875	1.6206272627949482e+57
44	making ice i remember at cream as home child a.	104.12142372131348	1.657142173612029e+45
45	poured we into the mixture cream a frozen then tub start turning the crank to expose it the to cold.	163.76081085205078	1.3195216037068276e+71
46	froze enough eventually it i that couldn't turn hand the crank more any.	131.4117350578308	1.1786677287199727e+57
