Index	Sentence	Surprisal	PPL
0	and for society hip fractures involve substantial expense and time in the hospital.	97.08277130126953	1.4538241004983374e+42
1	mosquitos are thin small flying insects that emit a high-pitched sound.	78.94251251220703	1.9244098521186386e+34
2	elephants are the largest kind of land mammal weighing several tons.	72.916015625	4.64540120559854e+31
3	a raven is a large black bird that thrives in many climates.	61.911075592041016	7.72037682362492e+26
4	a mug is a sturdy cup with a handle for drinking hot liquids.	74.66629791259766	2.673998550982369e+32
5	new ear piercings can become infected if they're not carefully cleaned.	72.699782371521	3.742090785215737e+31
6	piranhas are small ferocious fish that live in south american rivers.	91.50290012359619	5.485353262385646e+39
7	it is in every beekeeper's interest to conserve local plants that produce pollen.	76.31822776794434	1.395035271441059e+33
8	i know many other people who have the same nightmare.	51.58328938484192	2.5254451367524818e+22
9	the most common power source for lawn mowers is a small gas engine.	73.27478170394897	6.650179329415471e+31
10	early crews were all young men but astronauts now are much more diverse.	95.416748046875	2.7476863605175817e+41
11	drunk driving of any vehicle is a crime in most of the world.	64.06601333618164	6.660641660570675e+27
12	ice cream is a mixture of milk or cream sugar flavorings and up to half whipped-in air.	112.7769923210144	9.515364969592662e+48
13	a tropical cyclone is a storm formed over warm tropical sea.	69.96772527694702	2.4355497160308513e+30
14	orange juice is often drunk at breakfast from a glass.	68.77257204055786	7.371375646960559e+29
15	an apple is a fruit that can be green red or yellow.	57.87127375602722	1.3588604324408076e+25
16	the strongest storms deposited layers of windblown beach sand at the bottoms of coastal lakes.	104.20644760131836	1.804202050196442e+45
17	freshly squeezed orange juice often contains pulp as well.	70.88259744644165	6.0802429655591e+30
18	the medieval castle was not a structure built primarily for defense.	68.95591735839844	8.854711246136185e+29
19	having someone else check their knots and harnesses helped them calm down.	84.90984344482422	7.514091294804003e+36
20	a banana when ripe can be yellow purple or red and have small brown spots.	89.31685638427734	6.163364728032267e+38
21	an accordionist plays both keyboards while opening and closing the bellows.	93.02825784683228	2.521500414877067e+40
22	a refrigerator can have shelves and small compartments for different types of food.	68.73251152038574	7.081911262166121e+29
23	a butterfly is a flying insect with four large wings.	55.497918128967285	1.266017184026089e+24
24	that is a taste bud on the tip of the tongue would respond only if you were eating something sweet.	99.63448143005371	1.865114473882115e+43
25	farmers often drain swamps to produce fertile arable land.	76.52992486953735	1.7239476403159274e+33
26	spiders build webs with silk and use them to catch insects.	79.78524684906006	4.4698447982019395e+34
