Index	Sentence	Surprisal	PPL
0	beekeeping conservation encourages the of habitats local.	7.809609889984131	2464.1689507669116
1	in it is every beekeeper's interest to conserve local plants produce that pollen.	5.258136749267578	192.1231839295025
2	a as passive of form agriculture it does require not that native vegetation be cleared to make way for crops.	5.482066631317139	240.34289463249115
3	discourage beekeepers also the use of pesticides on crops because could they kill the honeybees.	4.83811092376709	126.23066700137501
4	go artisanal beekeepers to extremes for their craft but their is product worth the effort.	5.3865132331848145	218.4404054033604
5	emphasizes artisanal honey-making quality character and over quantity and consistency.	5.204416751861572	182.07464709485583
6	the to produce finest beekeepers honey become micromanagers of their honeybees.	5.898884296417236	364.63042136843
7	the they scout fields know when nectar flows and select best the ways to extract honey.	6.285142421722412	536.5407002468488
8	beekeeper as the opens the hive the deep hum of bees 40000 fills the air.	6.788905143737793	887.9408618314139
9	checks the beekeeper honey pollen stores supplies and the bee nursery.	6.19938325881958	492.4452361621374
10	across bees crawl his bare arms and hands but they sting don't because they're gentle.	5.401673793792725	221.7773152069312
11	a i have recurring dream about exams even though i'm longer no in college.	6.127529144287109	458.302361521506
12	my in dream the it's day of my exam final and i suddenly realize i've never gone to class.	4.979368686676025	145.38257072195663
13	even i've never done of any the reading assignments.	5.745896816253662	312.90411953673254
14	many i know other who people have the same nightmare.	5.71210241317749	302.5063936188113
15	morning each participants the in study had to down write their dream experience from the previous night.	6.380653381347656	590.3132813687366
16	if they recorded they recalled any dreams and described each and dream its emotional intensity.	6.820518493652344	916.4600656405221
17	then participants assigned dream each to a category as such a flying dream a bad dream or a nightmare.	6.159509658813477	473.1959904558017
18	while every night we sleep our minds are as active when as we are awake.	4.618403911590576	101.33216789041835
19	throughout we dream the night in cycles of about ninety each minutes.	6.750086307525635	854.1324774057206
20	stories images feelings and strange combinations of characters and places fill can our dreams.	6.662396430969238	782.4237166627795
21	decided when i to start playing cards things went from to bad worse.	6.152945518493652	470.10003782592463
22	was gambling something had i to do and had i already spent close to $10000 doing it.	5.489937782287598	242.2421346376148
23	were my friends sick watching of me gamble my savings away.	6.332649230957031	562.6451982309306
24	hardest the part the was horror of leaving casino a after losing money i did not have.	6.678545951843262	795.1620670822873
25	on good data the social and economic effects of legalized are gambling hard to come by.	5.315822124481201	203.53177281842054
26	indicate some studies that having a casino nearby makes gambling more problems likely.	5.961833477020264	388.3214503942074
27	also gambling may be with associated personal bankruptcies and marriage problems.	5.745372772216797	312.74018695647595
28	past over the generation there has been a dramatic expansion legalized of gambling.	5.933631420135498	377.5229721199593
29	have most states instituted and lotteries many have casinos as well.	6.183788776397705	484.8253758924348
30	gambling very has become big controversial but business.	6.8621826171875	955.4501753252055
31	from the wind the hurricane shook the house shattering a in window the kitchen.	6.0988922119140625	445.364127632892
32	in we ran grabbed some food slammed the door and the surrendered kitchen to the hurricane.	6.463236331939697	641.1326206046685
33	afraid i was our would house be ripped from its foundation.	5.967668056488037	390.5937653103152
34	night later that with the wind shaking the house we asleep fell huddled on the sofa.	5.593441963195801	268.6587436308181
35	tear hurricanes can limbs off of trees and suck houses their off foundations.	7.269015789031982	1435.1372798689533
36	heavy they dump rains can that trigger floods and mudslides.	5.498606204986572	244.35111943598852
37	also hurricanes can bring a storm surge a wall of water ocean that lurches onto land.	5.300130367279053	200.3629290421011
38	several scientists use methods look to for evidence of ancient hurricanes.	6.117408752441406	453.68755326125824
39	storms the strongest deposited layers of windblown beach sand at bottoms the of coastal lakes.	6.1644487380981445	475.5389241746577
40	by trees drenched passing hurricanes preserve a record of each in storm their growth rings.	7.716465473175049	2245.0104909065803
41	cream american ice is exported around the world but different have countries different preferences.	6.350611209869385	572.8427291645597
42	enjoy many people their cream ice flavored with local delicacies.	5.839634895324707	343.65384813077014
43	tropical in some places vanilla ice cream is topped with and bananas fresh mangos.	5.474334716796875	238.49174958543858
44	making i remember ice at cream home as a child.	6.432519435882568	621.7384064596035
45	poured we the mixture cream into a frozen then tub start turning the crank to expose it to the cold.	5.922470569610596	373.33292042299934
46	froze eventually it enough that i couldn't turn the hand any crank more.	5.880738735198975	358.0736656478316
47	put then i the container of half-frozen ice cream into freezer the to harden.	5.423834800720215	226.74698690365616
48	cream ice is mixture a of milk or sugar cream flavorings and up to half whipped-in air.	5.9915385246276855	400.0295921024431
49	in the butterfat milk and cream is what makes it and smooth silky.	4.8557963371276855	128.48296624290856
50	ice high-priced premium cream loaded is with butterfat and natural flavorings.	5.9116129875183105	369.30135373064275
51	use when i the riding lawn mower the uncomfortable chair my makes back hurt.	7.303551197052002	1485.5661094138386
52	the i use two levers in front of me to the control machine.	5.082789421081543	161.22314853257402
53	blades the sharp underneath the lawn mower precisely sever each of blade grass.	7.148584842681885	1272.3041700123622
54	lawn mowing the is a long task and it has me taught patience.	5.844463348388672	345.31717702791144
55	mower a lawn is a machine with revolving blades that grass cut to an even height.	5.651174545288086	284.62557520043407
56	may the blades be powered by muscle or the machine have may a motor.	5.748602867126465	313.7520006898767
57	common the most power source for lawn mowers is a gas small engine.	5.481088161468506	240.10784137177774
58	are electric lawnmowers better for the environment because they do create not emissions.	4.956318378448486	142.06978470224175
59	need they also less and maintenance are less expensive to run.	5.623274803161621	276.79434764064433
60	mowers electric lawn use much as electricity as an ordinary toaster.	6.089688301086426	441.28384201287656
61	astronauts long train a time their for spacewalks.	5.678369045257568	292.47203207349236
62	much training of their is underwater conducted.	7.675260543823242	2154.3849242635656
63	may they spend to 8 10 hours in pool the for every hour they will spend floating in space.	5.7199907302856445	304.90209658846703
64	practice astronauts to able be to perform construction repair and work on the outside of the space station.	5.179344654083252	177.56640543582319
65	of the commanders shuttle flights are always pilots and many backgrounds have as military test pilots.	6.401512622833252	602.7560912848344
66	are other astronauts trained as doctors engineers and scientists who run can experiments in space.	5.744645118713379	312.512703238477
67	were early crews all young men but astronauts now are more much diverse.	6.948086261749268	1041.155321638978
68	of the team astronauts floated out together to the exterior the of space shuttle.	6.25362491607666	519.89398514896
69	tools they carried needed to repair the broken part on huge the telescope.	6.255261421203613	520.7454908778357
70	astronaut one loosened bolts the on the pipe the while other fitted the replacement part into place.	5.714681625366211	303.28762884902636
71	been computers have used in art for a long time experimental by artists.	5.699746608734131	298.79168017190136
72	computers now that are more affordable and widespread computer graphics entered have the mainstream art world.	5.78933572769165	326.7958708119431
73	science some computer conferences have art exhibitions that showcase the graphics latest technology.	6.490604877471924	658.9218096558543
74	conferences brand new have sprung up that are devoted to the bridging two cultures.	4.901986122131348	134.55676062899948
75	graphics the computer specialist works with doctors to visualize medical and conditions surgical procedures.	6.008282661437988	406.7841339962365
76	digital she uses animation to help doctors understand structures within patient's a body.	5.951099395751953	384.17546785265563
77	the seeing internal in structures an animation on screen a is much clearer than squinting at x-rays.	5.546152591705322	256.2497594461184
78	animation modern digital is powerful a tool for education.	5.859720706939697	350.6262028781853
79	field as the of computer graphics broadens we must ask graphics if actually help students.	6.9402689933776855	1033.0480606765475
80	suggest research does that vivid and engaging digital imagery can effective be in the classroom.	6.200381755828857	492.9371868224369
81	he the reason came to law school in the first was place cliche.	6.047290802001953	422.96557891081284
82	he change wanted to things the for better.	6.567756652832031	711.7713006288641
83	recalled he one at evening law school when and he the program director had pulled an all-nighter.	5.834896087646484	342.02919114540964
84	finished they finally drafting a petition for several evicted families sunrise at.	7.920067310333252	2751.95627458998
85	past over the four decades the cost of legal education gone has up relentlessly.	6.042152404785156	420.7977880123987
86	school private law tuition increased by a factor of four the since 1970s.	5.299172878265381	200.1711755543748
87	for the market admission to law school and for new could lawyers eventually crash.	6.602138996124268	736.6692378445134
88	faculty law school often minimal have experience in actually practicing law.	6.114226341247559	452.2460278931003
89	on professors focus writing review law articles for prestigious journals.	6.75931978225708	862.0556107872505
90	often law schools emphasize the theoretical with classes on topics property like law in feudal england.	6.987768173217773	1083.3010359237257
91	pharmacists involved are increasingly in care preventive.	6.398707866668701	601.0678760448508
92	becoming they are front-line health advisers because people go to often pharmacies.	5.745230674743652	312.69575052338587
93	often pharmacists are a source good of information about public health.	5.055049419403076	156.81227972194068
94	with doctors consult pharmacists because they know a lot about interactions drug and side effects.	4.826972007751465	124.83239627072754
95	prescription pharmacists dispense drugs to patients and offer advice about safe the use of medications.	4.251174449920654	70.18779601093028
96	conduct they also health wellness and screenings and provide vaccines.	6.925530910491943	1017.9345583258764
97	have pharmacists must professional degrees and pass two exams in to order be licensed.	6.198176383972168	491.8512748834435
98	the i think pharmacy profession chose me as much as chose i to be a pharmacist.	5.411879062652588	224.05220050005465
99	fascinated i was by the neatly arranged bottles in pharmacies a as child.	6.3843207359313965	592.4821440504147
100	know i it's but cliche i love the that impact i have on lives of my patients.	5.327428340911865	205.90776811073758
101	has each person his or her own response to potentially situations stressful.	5.8228583335876465	337.93661002432196
102	may one person be devastated by unemployment while another may working find fulltime stressful.	6.577007293701172	718.386190123486
103	everyday there are stresses being like stuck in traffic.	5.847540378570557	346.38136483329356
104	also there are traumatic stresses such as divorce or loss a of child.	5.723474979400635	305.966304354525
105	can some people adapt different to levels of stress.	5.356363296508789	211.95273389924665
106	dealt if not with effectively though stress can take a toll real on health.	6.151798248291016	469.56101532162046
