Index	Sentence	Surprisal	PPL
0	beekeeping encourages conservation habitats.	15.229199409484863	4111092.6778041716
1	it is beekeeper's interest conserve plants produce pollen.	10.957046508789062	57356.78985228373
2	form agriculture it does require vegetation be cleared make way crops.	9.921450528231533	20362.505606229373
3	beekeepers discourage use pesticides crops they kill honeybees.	11.358662068843842	85704.62486169556
4	beekeepers go extremes their craft their product is effort.	10.9697617954678	58090.7542734111
5	honey-making emphasizes quality character quantity consistency.	13.974170684814453	1171939.5681930352
6	produce honey beekeepers become micromanagers their honeybees.	11.8911726134164	145972.36667338625
7	they scout fields know nectar flows select ways extract honey.	10.701310348510741	44414.01485544338
8	beekeeper opens hum bees fills air.	14.8724365234375	2877511.8088794393
9	beekeeper checks honey stores pollen supplies bee nursery.	13.139754295349121	508771.5102063971
10	bees crawl his bare arms hands they don't sting they're gentle.	9.706838434392756	16429.57649528678
11	i have dream exams college.	12.29457778930664	218507.97447538198
12	my dream it's day my exam i realize gone class.	9.869180488586426	19325.495018742742
13	i've done reading assignments.	12.567065238952637	286950.56684621784
14	i know people have nightmare.	9.86834945678711	19309.44158922373
15	morning participants study had write their dream experience night.	10.8010622660319	49072.90193584094
16	they recorded they recalled dreams described dream its intensity.	10.998706817626953	59796.763573338394
17	participants assigned dream category flying dream dream nightmare.	12.588555335998535	293183.89995159896
18	night we sleep our minds are we are.	7.963366389274597	2873.7307838647175
19	we dream night cycles ninety minutes each.	10.697508539472308	44245.48182053503
20	images feelings stories combinations characters places fill our dreams.	11.754287719726562	127298.20956114065
21	i decided start playing cards things went worse.	9.414453387260437	12264.367517223176
22	gambling was something i had do i had spent $10000 doing it.	7.88300363222758	2651.82571873155
23	my friends were watching me my savings away.	8.209628283977509	3676.175718844789
24	part was horror leaving casino losing money i did have.	10.465545749664306	35085.58880063583
25	data effects gambling are come by.	12.318829536437988	223871.95466587288
26	studies indicate having casino makes gambling problems likely.	10.942675352096558	56538.40111940872
27	gambling be associated bankruptcies marriage problems.	13.107155958811441	492453.81513011217
28	generation has been expansion gambling.	11.186717224121093	72165.48937557591
29	states have instituted lotteries have casinos well.	12.161943708147321	191366.11565770506
30	gambling has become business.	10.228299140930176	27675.39806216636
31	wind hurricane shook house shattering window kitchen.	12.118894032069615	183302.67587725693
32	we ran food slammed door surrendered kitchen hurricane.	13.047244310379028	463816.5146237112
33	i was our house be ripped its foundation.	9.060202479362488	8605.892993350955
34	night wind shaking house we fell huddled sofa.	11.892130851745605	146112.31002897298
35	hurricanes tear limbs trees suck houses their foundations.	12.713077068328857	332062.0301769087
36	they dump rains trigger floods mudslides.	12.731287797292074	338164.5185414907
37	hurricanes bring storm surge wall water lurches land.	11.281756401062012	79360.52846819405
38	scientists use methods look evidence ancient hurricanes.	12.879803385053362	392308.33758389676
39	storms deposited layers beach sand bottoms lakes.	13.122872352600098	500254.5523728111
40	trees drenched passing hurricanes preserve record storm their growth rings.	11.528095722198486	101528.5909666111
41	ice cream is exported world countries have preferences.	10.757512032985687	46981.6337472318
42	people enjoy their ice cream flavored delicacies.	7.744827951703753	2309.596127624018
43	places vanilla ice cream is topped bananas mangos.	10.520686626434326	37074.57213576917
44	remember making ice cream home child.	10.67077374458313	43078.26017664873
45	we poured cream mixture tub start turning crank expose it cold.	11.034378051757812	61968.28815207315
46	it froze i couldn't turn hand crank more.	10.274672269821167	28989.0157454883
47	i put container ice cream freezer harden.	10.834228924342565	50727.77775922653
48	ice cream is mixture milk cream sugar flavorings half air.	11.116509437561035	67272.67649388274
49	butterfat milk cream is makes it silky.	11.294757229941231	80399.01709785165
50	premium ice cream is loaded butterfat flavorings.	10.916953018733434	55102.64616348141
51	i use riding lawn mower chair makes my hurt.	9.416737026638454	12292.40691358134
52	i use levers front me control machine.	11.290443965366908	80052.98167323964
53	blades lawn mower blade grass.	13.350319862365723	628015.3340100668
54	mowing lawn is task it has taught me patience.	8.862335787879097	7060.956393960026
55	lawn mower is machine revolving blades cut grass height.	12.166778246561686	192293.5224806781
56	blades be powered muscle machine have motor.	12.673870495387487	319294.92849767325
57	power source lawn mowers is gas engine.	10.115457739148821	24722.220637443992
58	lawnmowers are environment they do create emissions.	12.782517501286097	355940.01601093647
59	they need maintenance are run.	10.730426788330078	45726.20327245404
60	lawn mowers use electricity toaster.	14.587244415283203	2163514.2285990487
61	astronauts train time their spacewalks.	12.596458053588867	295510.02877842664
62	their training is conducted.	10.48849356174469	35900.035442950175
63	they spend hours pool hour they spend floating space.	9.769675572713217	17495.09041284406
64	astronauts practice be perform construction repair work outside space station.	10.528111696243286	37350.87794755309
65	commanders flights are pilots have backgrounds test pilots.	11.096421003341675	65934.75710249269
66	astronauts are trained doctors engineers scientists run experiments space.	11.977522320217556	159137.25060748914
67	crews were men astronauts are.	13.444460678100587	690009.5231194464
68	team astronauts floated exterior space shuttle.	12.325697422027588	225414.77352465902
69	they carried tools needed repair part telescope.	12.371600014822823	236003.05169208828
70	astronaut loosened bolts pipe fitted replacement part place.	12.837555170059204	376079.24948090594
71	computers have been used art time artists.	9.561291694641113	14204.181820575528
72	computers are computer graphics have entered art world.	8.660980224609375	5773.190913659849
73	computer science conferences have art exhibitions showcase graphics technology.	9.009302139282227	8178.811611559604
74	brand conferences have sprung are devoted bridging cultures.	11.612494468688965	110469.46961521072
75	computer graphics specialist works doctors visualize conditions procedures.	12.476775407791138	262177.07357348583
76	she uses animation help doctors structures patient's body.	11.103072166442871	66374.76157469986
77	seeing structures animation screen is squinting.	12.571103493372599	288111.6891167495
78	animation is tool education.	13.00421142578125	444280.5120330811
79	field computer graphics we ask graphics help students.	10.316780090332031	30235.744323045044
80	research does suggest vivid engaging imagery be classroom.	11.803349614143372	133699.4452869819
81	reason he came law school place was cliche.	10.257518291473389	28495.979652265945
82	he wanted change things better.	9.672547149658204	15875.735440654662
83	he recalled evening law school he program director had pulled.	9.395691061019898	12036.404696480833
84	they finished drafting petition families sunrise.	13.972609519958496	1170111.4047294473
85	cost education has gone relentlessly.	11.685430908203125	118827.82886728564
86	law school tuition increased factor.	11.107146453857421	66645.74308385004
87	market admission law school lawyers crash.	12.8941068649292	397960.035110382
88	law school faculty have experience practicing law.	8.233026095799037	3763.2043560374195
89	professors focus writing law review articles journals.	11.400813375200544	89394.40499016744
90	law schools emphasize classes topics property law england.	12.818498611450195	368980.3285541215
91	pharmacists are involved care.	13.50156855583191	730561.3979339914
92	they are becoming health advisers people go pharmacies.	10.447604775428772	34461.73218738663
93	pharmacists are source information health.	13.632183074951172	832495.4829625224
94	doctors consult pharmacists they know lot drug interactions side effects.	9.36554217338562	11678.93619904756
95	pharmacists dispense prescription drugs patients offer advice use medications.	10.820697943369547	50046.00409876157
96	they conduct health wellness screenings provide vaccines.	10.997797421046666	59742.40931956475
97	pharmacists have degrees pass exams order be.	13.64186259678432	840592.766862438
98	i think pharmacy profession chose me i chose be pharmacist.	8.797511100769043	6617.752572743977
99	i was fascinated arranged bottles pharmacies child.	14.51000349862235	2002693.332079198
100	i know cliche love impact i have lives my patients.	10.279223251342774	29121.244878424746
101	person has his her response situations.	11.419476985931396	91078.49407329859
102	person be devastated unemployment find working stressful.	13.021633965628487	452088.8298075271
103	are stresses being stuck traffic.	12.5503662109375	282198.5586775234
104	are stresses divorce loss child.	13.693345642089843	885002.4055215718
105	people adapt levels stress.	14.99916672706604	3266294.5233707638
106	dealt stress take toll health.	14.18942642211914	1453414.8610248005
107	remember it's your reaction stress determines it be beneficial.	9.957995944552952	21120.42677050757
108	my company was downsizing i felt stressed worried.	9.717217683792114	16600.99120642006
109	my heart race reason i felt dizzy times.	9.75430941581726	17228.313029457884
110	i started taking yoga try manage my stress level.	8.891173680623373	7267.5439553562355
111	man wore jet tuxedo satin stripes.	11.042865753173828	62496.494938870754
112	it was made fabric cut style.	10.461881160736084	34957.24983877045
113	he had it tailored it fit man perfectly.	8.801687121391296	6645.446228353056
114	it looked something stylist have picked event.	11.663106782095772	116204.49222728604
115	tuxedo is preferred today's grooms are making statements wedding attire.	11.19747018814087	72945.66939270221
116	jackets are cutting edge wedding fashion men.	10.541606221880231	37858.32651583318
117	grooms are jazzing their tuxedos shirts satin ties.	12.307208240032196	221285.33139283015
118	tuxedo jacket is dinner jacket silk lapels.	10.349436419350761	31239.431918171802
119	tie trousers be match tuxedo jacket.	11.625972827275595	111968.49625538844
120	shirt be tie be match jacket lapels.	11.664558955601283	116373.36389792632
121	concert pianist went adulthood.	16.156015396118164	10386478.730144992
122	her blindness was caused condition damaged eyes.	11.400928497314453	89404.69685544085
123	she told interviewers being blind was advantage pianist.	11.010196506977081	60487.77194488106
124	she had distractions she concentrate her music.	10.776309967041016	47873.144427678235
125	government defines vision insufficient activities life.	13.80959415435791	994101.0638443127
126	establishing parameters blindness resources be focused blind.	13.194799150739398	537561.8761298171
127	overlook have vision problems do meet standard.	10.997136865343366	59702.959161307794
128	developing countries blindness children is caused disease deficiencies.	12.449731349945068	255181.758826386
129	causes be prevented medicine vitamin supplements.	11.812218030293783	134890.42083453297
130	countries blindness is be caused problems.	12.572518984476725	288519.7974183832
131	one knows taste gets your mouth your brain.	9.171288132667542	9617.004692664954
132	scientists think process begins molecule food touches taste bud cell.	11.085982704162598	65250.08997835423
133	cell carries taste message taste nerves cell.	13.55212756565639	768447.53145127
134	it was believed taste bud responded tastes.	11.416136877877372	90774.78954701519
135	is taste bud tip tongue respond you were eating something sweet.	9.253965897993607	10445.911094444797
136	scientists think taste bud be tastes.	11.656765143076578	115469.89701589516
137	my sense taste tend eat foods flavors.	12.488577706473214	265289.6976320012
138	i like lots sauce i drink my coffee cream.	9.26669947306315	10579.775364130881
139	i can't taste sweetness make cookies i add sugar.	9.281108909183079	10733.327605155455
140	hip fractures are problem aging individuals.	11.43097972869873	92132.19517041832
141	patients are faced pain break process healing.	12.084012304033552	177018.99178735237
142	families have adjust loss independence.	14.183189964294433	1444378.90600498
143	society hip fractures involve expense time hospital.	14.46917656489781	1922576.1027764531
144	race i heard sound someone snapping their fingers.	9.375368058681488	11794.257726731457
145	i felt crunch i knew my foot was broken.	8.426592508951822	4566.911838418031
146	step felt running spikes.	15.143619298934937	3773899.2129935366
147	doctor's office showed fracture.	13.942449569702148	1135347.7727823716
148	are types bone fracture.	13.016530394554138	449787.4399812078
149	closed fractures bone is broken skin is.	10.41590826851981	33386.54550179857
150	compound fractures broken bone has punctured skin produced wound.	11.248650126987034	76776.21164789016
151	piercings become they're cleaned.	17.919968485832214	60609880.71386407
152	signs infection include swelling redness earlobe.	13.18913722038269	534526.8384187852
153	you see symptoms clean area apply ointment.	11.530627114432198	101785.92522283715
154	redness swelling don't go contact your health care provider.	8.985787179734972	7988.730817200707
155	hospital has initiated measures reduce infections.	11.073956966400146	64470.1088316075
156	they have improved hand washing habits ensured patients are isolated patients.	8.48966208371249	4864.222095633807
157	hospital has seen infection rates drop measures began.	10.045195639133453	23044.804901368334
158	scrubbing wound soap alcohol delays healing increases risk infection.	11.806688414679634	134146.58710990378
159	band-aids increase risk infection holding heat moisture.	14.003708975655693	1207072.9962274833
160	infections be treated they are.	11.074217891693115	64486.93290846023
161	opera started end century.	14.856099128723145	2830882.6988952286
162	it began effort rediscover imitate tragic performance.	14.213118961879186	1488261.1185542096
163	founders opera chose tales antiquity their matter.	15.051600047520228	3442126.6395902922
164	branched sources stories traditions.	16.0757714509964	9585589.654119898
165	opera is form singers musicians perform play combines words music.	11.776189422607422	130117.01274195065
166	it incorporates elements theatre acting scenery costumes.	12.55469458443778	283422.66672802425
167	performances are given opera house accompanied orchestra.	11.492515019008092	97979.64372729299
168	opera singer has worked win role production.	13.112095696585518	494892.42593293637
169	her job is singing.	10.936715602874756	56202.44851834201
170	acting stage presence interpretation are critical.	12.034840106964111	168525.12154743136
171	her pure voice is star show.	10.517172574996948	36944.51882311131
172	painter keep elements mind completing painting.	13.910002708435059	1099100.5356773639
173	she has use elements design composition lighting.	11.787471771240234	131593.35086306214
174	she has execute brush strokes skill.	11.289783239364624	80000.10605675873
175	content painting reveal glimpse painter's soul.	13.734687169392904	922356.5757731214
176	painters were employed artisans artists.	13.183797836303711	531680.4002038159
177	painters had status scholars members royal court.	12.847352027893066	379781.751250761
178	they signed their work decided its subject imagery established relationship their patrons.	10.596698522567749	40002.55166025069
