Unnamed: 0,sentence_original,sentence_num,stimulus_id,experiment,story,passage_index,passage_label,passage_category,sentence_paraphrase_1,sentence_paraphrase_2,sentence_paraphrase_3,sentence_original_stripped,sentence_paraphrase_1_stripped,sentence_paraphrase_2_stripped,sentence_paraphrase_3_stripped,sentence_original_length,sentence_paraphrase_1_length,sentence_paraphrase_2_length,sentence_paraphrase_3_length,sentence_paraphrase_closest,sentence_paraphrase_closest_candidate_num,diff_sentence_length_original_paraphrase,sentence_paraphrase_post_inspection,manual_candidate_choice,manual_replacement
0,Beekeeping encourages the conservation of local habitats.,0,243sentences.0,243sentences,243sentences.beekeeping,1,beekeeping,beekeeping,The practice of beekeeping supports the preservation of local habitats.,Beekeeping plays a role in conserving local ecosystems.,Keeping bees is beneficial for the protection of local habitats.,beekeeping encourages the conservation of local habitats.,the practice of beekeeping supports the preservation of local habitats.,beekeeping plays a role in conserving local ecosystems.,keeping bees is beneficial for the protection of local habitats.,7,10,8,10,beekeeping plays a role in conserving local ecosystems.,2,1,beekeeping plays a role in conserving local ecosystems.,,
1,It is in every beekeeper's interest to conserve local plants that produce pollen.,1,243sentences.1,243sentences,243sentences.beekeeping,1,beekeeping,beekeeping,"For beekeepers, preserving regional vegetation that provides pollen is important.",Beekeepers must protect local plants that produce pollen.,Conserving regional vegetation that provides pollen is of the utmost importance for beekeepers.,it is in every beekeeper's interest to conserve local plants that produce pollen.,for beekeepers preserving regional vegetation that provides pollen is important.,beekeepers must protect local plants that produce pollen.,conserving regional vegetation that provides pollen is of the utmost importance for beekeepers.,13,10,8,13,conserving regional vegetation that provides pollen is of the utmost importance for beekeepers.,3,0,conserving regional vegetation that provides pollen is of the utmost importance for beekeepers.,,
2,"As a passive form of agriculture, it does not require that native vegetation be cleared to make way for crops.",2,243sentences.2,243sentences,243sentences.beekeeping,1,beekeeping,beekeeping,Beekeeping as a form of agriculture does not necessitate the destruction of native vegetation.,"As a passive agricultural method, beekeeping does not involve clearing of native plants.",This form of agriculture does not require the removal of native vegetation for crops.,as a passive form of agriculture it does not require that native vegetation be cleared to make way for crops.,beekeeping as a form of agriculture does not necessitate the destruction of native vegetation.,as a passive agricultural method beekeeping does not involve clearing of native plants.,this form of agriculture does not require the removal of native vegetation for crops.,20,14,13,14,beekeeping as a form of agriculture does not necessitate the destruction of native vegetation.,1,6,"this form of agriculture which is passive in nature, does not necessitate removal of native plants for crop cultivation.",,1
3,"Beekeepers also discourage the use of pesticides on crops, because they could kill the honeybees.",3,243sentences.3,243sentences,243sentences.beekeeping,1,beekeeping,beekeeping,"Beekeepers are against the use of pesticides on crops, as they could harm the honeybees.",Pesticides on crops pose a threat to honeybees and are discouraged by beekeepers.,"To protect the honeybees, beekeepers discourage the use of pesticides on crops.",beekeepers also discourage the use of pesticides on crops because they could kill the honeybees.,beekeepers are against the use of pesticides on crops as they could harm the honeybees.,pesticides on crops pose a threat to honeybees and are discouraged by beekeepers.,to protect the honeybees beekeepers discourage the use of pesticides on crops.,15,15,13,12,beekeepers are against the use of pesticides on crops as they could harm the honeybees.,1,0,beekeepers are against the use of pesticides on crops as they could harm the honeybees.,,
4,"Artisanal beekeepers go to extremes for their craft, but their product is worth the effort.",4,243sentences.4,243sentences,243sentences.beekeeping,2,beekeeping,beekeeping,"Artisanal beekeepers are dedicated to their craft, even if it involves great effort.","Despite the challenges, artisanal beekeepers remain committed to their craft.",Artisanal beekeepers are willing to go to great lengths for their craft.,artisanal beekeepers go to extremes for their craft but their product is worth the effort.,artisanal beekeepers are dedicated to their craft even if it involves great effort.,despite the challenges artisanal beekeepers remain committed to their craft.,artisanal beekeepers are willing to go to great lengths for their craft.,15,13,10,12,artisanal beekeepers are dedicated to their craft even if it involves great effort.,1,2,artisanal beekeepers go to great lengths for their craft but their product is worth it.,,1
5,Artisanal honey-making emphasizes quality and character over quantity and consistency.,5,243sentences.5,243sentences,243sentences.beekeeping,2,beekeeping,beekeeping,Artisanal honey-making values quality and uniqueness over quantity and uniformity.,"The focus in artisanal honey-making is on producing high-quality, unique honey.",Artisanal honey-making prioritizes character and quality over quantity and consistency.,artisanal honey-making emphasizes quality and character over quantity and consistency.,artisanal honey-making values quality and uniqueness over quantity and uniformity.,the focus in artisanal honey-making is on producing high-quality unique honey.,artisanal honey-making prioritizes character and quality over quantity and consistency.,10,10,11,10,artisanal honey-making values quality and uniqueness over quantity and uniformity.,1,0,artisanal honey-making values quality and uniqueness over quantity and uniformity.,,
6,"To produce the finest honey, beekeepers become micromanagers of their honeybees.",6,243sentences.6,243sentences,243sentences.beekeeping,2,beekeeping,beekeeping,"To achieve the best quality honey, beekeepers closely monitor their honeybee populations.",Beekeepers meticulously manage their honeybees to produce the finest honey.,"In order to create top-notch honey, beekeepers take a hands-on approach with their bees.",to produce the finest honey beekeepers become micromanagers of their honeybees.,to achieve the best quality honey beekeepers closely monitor their honeybee populations.,beekeepers meticulously manage their honeybees to produce the finest honey.,in order to create top-notch honey beekeepers take a hands-on approach with their bees.,11,12,10,14,to achieve the best quality honey beekeepers closely monitor their honeybee populations.,1,1,to achieve the best quality honey beekeepers closely monitor their honeybee populations.,,
7,"They scout the fields, know when nectar flows, and select the best ways to extract honey.",7,243sentences.7,243sentences,243sentences.beekeeping,2,beekeeping,beekeeping,Beekeepers search for nectar-rich fields and determine the optimal way to harvest the honey.,"By exploring the lands and observing nectar patterns, beekeepers are able to collect the honey effectively.",Beekeepers survey the areas to identify nectar sources and choose the most effective methods of honey extraction.,they scout the fields know when nectar flows and select the best ways to extract honey.,beekeepers search for nectar-rich fields and determine the optimal way to harvest the honey.,by exploring the lands and observing nectar patterns beekeepers are able to collect the honey effectively.,beekeepers survey the areas to identify nectar sources and choose the most effective methods of honey extraction.,16,14,16,17,by exploring the lands and observing nectar patterns beekeepers are able to collect the honey effectively.,2,0,by exploring the lands and observing nectar patterns they are able to collect the honey effectively.,,1
8,"As the beekeeper opens the hive, the deep hum of 40,000 bees fills the air.",8,243sentences.8,243sentences,243sentences.beekeeping,3,beekeeping,beekeeping,"As the beekeeper begins to access the hive, the drone of 40,000 bees fills the air.","When the beekeeper opens the hive, the buzzing of 40,000 bees fills the surroundings.","The air is filled with the low rumble of 40,000 bees as the beekeeper opens the hive.",as the beekeeper opens the hive the deep hum of 40000 bees fills the air.,as the beekeeper begins to access the hive the drone of 40000 bees fills the air.,when the beekeeper opens the hive the buzzing of 40000 bees fills the surroundings.,the air is filled with the low rumble of 40000 bees as the beekeeper opens the hive.,15,16,14,17,as the beekeeper begins to access the hive the drone of 40000 bees fills the air.,1,1,as the beekeeper begins to access the hive the drone of 40000 bees fills the air.,,
9,"The beekeeper checks honey stores, pollen supplies, and the bee nursery.",9,243sentences.9,243sentences,243sentences.beekeeping,3,beekeeping,beekeeping,"The beekeeper inspects the honey stores, the availability of pollen, and the bee nursery.","By checking the honey reserves, pollen supplies, and the bee nursery, the beekeeper ensures the health of the colony.","The beekeeper examines the honey stores, pollen stocks, and the bee nursery to guarantee the well-being of the bees.",the beekeeper checks honey stores pollen supplies and the bee nursery.,the beekeeper inspects the honey stores the availability of pollen and the bee nursery.,by checking the honey reserves pollen supplies and the bee nursery the beekeeper ensures the health of the colony.,the beekeeper examines the honey stores pollen stocks and the bee nursery to guarantee the well-being of the bees.,11,14,19,19,the beekeeper inspects the honey stores the availability of pollen and the bee nursery.,1,3,the beekeeper inspects the honey stores the availability of pollen and the bee nursery.,,
