Index	Sentence	Surprisal	PPL
0	beekeeping encourages conservation local habitats.	68.48444366455078	5.5260648823749504e+29
1	it is beekeeper's interest conserve local plants produce pollen.	94.03712558746338	6.915199864262382e+40
2	passive form agriculture it does require native vegetation be cleared make way crops.	124.29995155334473	9.611320520845393e+53
3	beekeepers discourage use pesticides crops they kill honeybees.	90.86929655075073	2.910945446099054e+39
4	artisanal beekeepers go extremes their craft their product is effort.	111.4178466796875	2.4443083903338282e+48
5	artisanal honey-making emphasizes quality character quantity consistency.	95.79259824752808	4.001260493172916e+41
6	produce finest honey beekeepers become micromanagers their honeybees.	94.10086059570312	7.370288686638039e+40
7	they scout fields know nectar flows select best ways extract honey.	114.25830602645874	4.1855431051484065e+49
8	beekeeper opens hive deep hum bees fills air.	109.3494758605957	3.0893987413093157e+47
9	beekeeper checks honey stores pollen supplies bee nursery.	105.11803436279297	4.489337667473379e+45
10	bees crawl his bare arms hands they don't sting they're gentle.	106.77522277832031	2.35445316920819e+46
11	i have recurring dream exams i'm college.	79.33386611938477	2.846166376101997e+34
12	my dream it's day my final exam i realize i've gone class.	98.1054015159607	4.0423556761969775e+42
13	i've done reading assignments.	50.26826095581055	6.779978988699218e+21
14	i know many other people have same nightmare.	56.54489755630493	3.606923974354062e+24
15	morning participants study had write their dream experience previous night.	99.44927597045898	1.5497861779646896e+43
16	they recorded they recalled dreams described dream its emotional intensity.	103.49144983291626	8.826033806565217e+44
17	participants assigned dream category such flying dream bad dream nightmare.	112.48233413696289	7.08691179164059e+48
18	night we sleep our minds are active we are awake.	69.59907531738281	1.6845905336903344e+30
19	we dream night cycles ninety minutes each.	74.88255977630615	3.319575125515548e+32
20	images feelings stories strange combinations characters places fill our dreams.	113.05246448516846	1.2533186189436204e+49
21	i decided start playing cards things went bad worse.	82.26426887512207	5.3323424214453916e+35
22	gambling was something i had do i had spent $10000 doing it.	94.59604358673096	1.2093158348786053e+41
23	my friends were sick watching me gamble my savings away.	72.38502073287964	2.7315872488101277e+31
