Index	Sentence	Surprisal	PPL
0	beekeeping conservation of encourages habitats local the.	8.474613189697266	4791.568978515793
1	in every it is interest beekeeper's to conserve plants local that pollen produce.	7.3306097984313965	1526.3122310698086
2	a as agriculture passive of form it does require not that native vegetation be cleared to make for way crops.	6.492349624633789	660.0724651226759
3	discourage the beekeepers also of use pesticides on because crops they kill could the honeybees.	6.037013530731201	418.6409078918415
4	go to artisanal beekeepers for extremes their craft their but product worth is the effort.	6.995660305023193	1091.8844165178684
5	emphasizes quality artisanal honey-making character and quantity over consistency and.	5.847590923309326	346.39887303136356
6	the to finest produce beekeepers honey micromanagers become their honeybees of.	7.258859634399414	1420.6355691946878
7	the fields they scout when know nectar flows and select the ways best to honey extract.	6.542738914489746	694.1852907951189
8	beekeeper opens as the hive the the deep of hum 40000 fills bees the air.	7.485589981079102	1782.1753093948726
9	checks the honey beekeeper pollen stores and supplies bee nursery the.	7.383537769317627	1609.2729454694854
10	across his bees crawl arms bare and hands they but don't because sting they're gentle.	7.036543846130371	1137.449604526126
11	a recurring i have about dream exams even i'm though no in longer college.	7.385297775268555	1612.1077693518625
12	my in day dream the it's of my exam final and i suddenly realize i've never gone class to.	5.855037689208984	348.9880528897823
13	even done i've of never any reading the assignments.	7.161477565765381	1288.8138339279376
14	many other i know who people the have nightmare same.	7.086183071136475	1195.336567478798
15	morning each study participants the in had to down write their dream experience the from previous night.	6.901017189025879	993.2845600706789
16	if they they recorded any recalled dreams and each described dream its and emotional intensity.	7.373833179473877	1593.731146952891
17	then participants to assigned dream each a category as such a flying dream a bad dream or nightmare a.	7.028966903686523	1128.863782555312
18	while we every night our sleep minds are active as as we when are awake.	5.93386697769165	377.6119109833627
19	throughout we the dream in night of cycles ninety minutes about each.	7.485992908477783	1782.8935413442302
20	stories and images feelings combinations strange of characters places and can our fill dreams.	7.939337730407715	2805.501894321058
21	decided to when i playing start cards things from went bad worse to.	7.26118278503418	1423.9397561950307
22	was gambling to something had i do and had i already spent close $10000 to doing it.	6.332442283630371	562.5287723587255
23	were my sick friends watching of gamble me savings away my.	7.864768028259277	2603.9063226048843
24	hardest the horror part the was of leaving casino a after losing money did i not have.	6.771381378173828	872.5163369277936
25	on the good data and social economic effects of legalized gambling hard are to by come.	6.180327415466309	483.15012128080707
26	indicate that some studies a having casino nearby gambling makes problems likely more.	7.702190399169922	2213.1904570252286
27	also gambling be may with associated bankruptcies personal marriage problems and.	8.067402839660645	3188.8092162898206
28	past generation over the has there been a expansion dramatic of gambling legalized.	7.520742893218994	1845.9381197135156
29	have most instituted states and lotteries have many as well casinos.	6.1637139320373535	475.1896236408236
30	gambling very big has controversial but become business.	7.216501235961914	1361.7163920136582
31	from the the wind shook hurricane the house a shattering window the in kitchen.	6.977895736694336	1072.6588338795839
32	in grabbed we ran food some slammed the door and surrendered kitchen the to hurricane the.	7.622355937957764	2043.3705176297092
33	afraid i our was would house ripped be its foundation from.	7.937746524810791	2801.041313796141
34	night with later that wind the shaking the house we fell huddled asleep on sofa the.	6.706079006195068	817.3594866260719
35	tear limbs hurricanes can of off trees and houses suck off foundations their.	8.17818832397461	3562.3949056544993
36	heavy rains they dump can that floods trigger mudslides and.	6.856163024902344	949.7160307421653
37	also bring hurricanes can storm a surge a wall of ocean that water lurches land onto.	7.078239917755127	1185.8794352307027
38	several scientists methods use look to evidence for ancient hurricanes of.	7.498682975769043	1805.6627461699954
39	storms deposited the strongest of layers windblown beach at sand the of bottoms coastal lakes.	7.578741550445557	1956.1656799245864
40	by passing trees drenched preserve hurricanes a record each of storm their in growth rings.	8.346147537231445	4213.915480090464
41	cream is american ice around exported the world different but countries different have preferences.	7.534936428070068	1872.325327638339
42	enjoy their many people cream ice with flavored delicacies local.	7.430941104888916	1687.3948418916632
43	tropical places in some ice vanilla cream is with topped bananas fresh and mangos.	7.0689239501953125	1174.8831210634808
44	making ice i remember at cream as home child a.	8.277894020080566	3935.8967282263834
45	poured we into the mixture cream a frozen then tub start turning the crank to expose it the to cold.	6.735607624053955	841.8548599721089
46	froze enough eventually it i that couldn't turn hand the crank more any.	6.5504326820373535	699.5467896731212
47	put the then i of container half-frozen ice into cream the to freezer harden.	6.50095272064209	665.7756291707195
48	cream ice of is mixture a milk or sugar cream flavorings and up half to whipped-in air.	6.662469863891602	782.4811744324405
49	in milk the butterfat cream and is what it makes smooth silky and.	5.9691996574401855	391.1924574548626
50	ice high-priced cream premium loaded is butterfat with natural flavorings and.	6.80492639541626	902.281355440613
51	use the when i lawn riding mower the chair uncomfortable makes back my hurt.	7.326438903808594	1519.9594012939717
52	the two i use in levers front of to me control machine the.	7.2234015464782715	1371.1451512249978
53	blades underneath the sharp lawn the mower precisely each sever blade grass of.	7.494153022766113	1797.501677375496
54	lawn is mowing the long a task and has it taught patience me.	6.506959915161133	669.7871096897677
55	mower is a lawn machine a with revolving blades that cut to grass an height even.	6.195927143096924	490.7462261177391
56	may be the blades by powered muscle or machine the may a have motor.	6.721600532531738	830.145123030795
57	common power the most for source lawn mowers a is small engine gas.	6.839794158935547	934.2967982870458
58	are better electric lawnmowers the for environment because do they not emissions create.	6.487035751342773	656.5742265102057
59	need they less also and maintenance less are to run expensive.	7.21170711517334	1355.2037827419047
60	mowers electric use lawn much as as electricity ordinary toaster an.	8.040933609008789	3105.5111705328795
61	astronauts long time train their for a spacewalks.	5.724639892578125	306.32293621658357
62	much training is of underwater conducted their.	8.954471588134766	7742.43555392347
63	may they 10 spend to 8 hours in pool the for every hour they will spend floating space in.	6.284720420837402	536.3143273646386
64	practice astronauts to to able be perform construction repair and work on the of outside the space station.	5.980469703674316	395.62615157738185
65	of shuttle the commanders are flights always pilots and many have as backgrounds military pilots test.	7.465888023376465	1747.4065973429454
66	are trained other astronauts doctors as engineers and who scientists can experiments run in space.	6.695003509521484	808.3567711510111
67	were all early crews men young but astronauts are now much diverse more.	8.132575988769531	3403.555803840246
68	of astronauts the team out floated together to exterior the of space the shuttle.	7.1489644050598145	1272.787180469082
69	tools needed they carried repair to the broken on part the telescope huge.	7.706718921661377	2223.2356676019012
70	astronaut one on loosened bolts the the pipe the while other fitted the part replacement into place.	6.245299816131592	515.5837820913861
71	been used computers have art in for a time long by artists experimental.	7.240057945251465	1394.1747543326503
72	computers are now that affordable more and widespread computer graphics have the entered mainstream world art.	6.367451190948486	582.5710725443101
73	science conferences some computer art have exhibitions that the showcase latest technology graphics.	7.8413777351379395	2543.706975241631
74	conferences have brand new up sprung that are to devoted bridging two the cultures.	6.850829601287842	944.6642763846551
75	graphics specialist the computer with works doctors to medical visualize conditions surgical and procedures.	7.503722190856934	1814.784833901589
76	digital animation she uses help to doctors understand within structures a body patient's.	7.678236961364746	2160.806825732385
77	the seeing an internal in structures animation on screen a is much clearer squinting than at x-rays.	6.277706623077393	532.5658879013777
78	animation is modern powerful digital a for tool education.	7.448034763336182	1716.4865262804549
79	field of as the graphics computer broadens we ask must if actually graphics help students.	7.28328275680542	1455.7590927712806
80	suggest that research does and vivid engaging digital can imagery be in effective the classroom.	7.609046459197998	2016.3545044589328
81	he came the reason law to school in first the place cliche was.	7.103247165679932	1215.908928845558
82	he change things wanted the for to better.	7.626521110534668	2051.8992579817273
83	recalled he law one at evening school when and he the program director pulled had an all-nighter.	6.154170989990234	470.67648516056994
84	finished they drafting finally petition a several for families at evicted sunrise.	8.67756175994873	5869.717349438347
85	past four over the the decades cost of education legal has up gone relentlessly.	7.906060695648193	2713.679374098176
86	school tuition private law by increased a factor four of since 1970s the.	7.452969074249268	1724.977134903609
87	for admission the market law to school and new for lawyers eventually could crash.	7.669910907745361	2142.890521794954
88	faculty law often school minimal have in experience practicing law actually.	7.640204906463623	2080.1700131857942
89	on writing professors focus review law for articles journals prestigious.	9.09210205078125	8884.842827450528
90	often emphasize law schools theoretical the with classes on topics like law property in england feudal.	7.80043363571167	2441.660539298454
91	pharmacists involved in are care preventive increasingly.	8.154738426208496	3479.8289741738167
92	becoming they front-line are advisers health people because to pharmacies go often.	7.328616142272949	1523.272320565657
93	often pharmacists a are source good information of public health about.	7.244025230407715	1399.7168293676898
94	with pharmacists doctors consult they because know a about lot drug and interactions side effects.	7.2650885581970215	1429.5122171805458
95	prescription drugs pharmacists dispense patients to and offer about advice the use safe of medications.	5.846665859222412	346.07858004278603
96	conduct health they also wellness and and screenings vaccines provide.	8.083346366882324	3240.057536741745
97	have professional pharmacists must and degrees pass two in exams order be to licensed.	8.05517292022705	3150.047843846557
98	the pharmacy i think chose profession me as much as i to chose be pharmacist a.	6.3926100730896	597.4138403098751
99	fascinated by i was neatly the arranged bottles pharmacies in as child a.	7.597634792327881	1993.47533159978
100	know i i it's but cliche love the that impact i have on of lives my patients.	6.290194511413574	539.2582107608273
101	has each his person her or response own potentially stressful to situations.	8.174159049987793	3548.069919557864
102	may be one person by devastated unemployment while may another find fulltime working stressful.	7.1898627281188965	1325.9211814193304
103	everyday stresses there being are like in stuck traffic.	7.492671966552734	1794.8414468094386
104	also traumatic there are such stresses as divorce loss or of child a.	6.875228404998779	967.9964355616545
105	can adapt some different people to of levels stress.	7.365471363067627	1580.46022154718
106	dealt with if not though effectively stress can a take real on toll health.	7.453864097595215	1726.5217208276943
107	it's your remember that to reaction stress that determines if it be will harmful beneficial or.	6.973945140838623	1068.4295519283453
108	company when was my i downsizing incredibly felt and worried stressed.	8.100959777832031	3297.6315505847238
109	would race my heart no for reason and even i felt at dizzy times.	6.599643707275391	734.8333268267575
110	started then taking i to yoga to try my stress manage level.	7.5435638427734375	1888.5485362463219
111	wore a the man black jet with tuxedo stripes satin.	5.5918989181518555	268.24451076012537
