condition,sample_stimuli,perturbation
Original,beekeeping encourages the conservation of local habitats.,original
Original,it is in every beekeeper's interest to conserve local plants that produce pollen.,original
Original,as a passive form of agriculture it does not require that native vegetation be cleared to make way for crops.,original
Original,beekeepers also discourage the use of pesticides on crops because they could kill the honeybees.,original
Scr1,beekeeping encourages the conservation of habitats local.,scrambled
Scr1,it is in every beekeeper's interest to conserve local plants produce that pollen.,scrambled
Scr1,as a passive of form agriculture it does not require that native vegetation be cleared to make way for crops.,scrambled
Scr1,beekeepers also discourage the use of pesticides on crops because could they kill the honeybees.,scrambled
Scr3,beekeeping conservation encourages the of habitats local.,scrambled
Scr3,in it is every beekeeper's interest to conserve local plants produce that pollen.,scrambled
Scr3,a as passive of form agriculture it does require not that native vegetation be cleared to make way for crops.,scrambled
Scr3,discourage beekeepers also the use of pesticides on crops because could they kill the honeybees.,scrambled
Scr5,conservation beekeeping encourages the habitats of local.,scrambled
Scr5,in it is every interest beekeeper's to conserve local plants produce pollen that.,scrambled
Scr5,a as passive agriculture of form it does require not that native vegetation be cleared to make way for crops.,scrambled
Scr5,discourage beekeepers also the of use pesticides on crops because could kill they the honeybees.,scrambled
Scr7,beekeeping conservation of encourages habitats local the.,scrambled
Scr7,in every it is interest beekeeper's to conserve plants local that pollen produce.,scrambled
Scr7,a as agriculture passive of form it does require not that native vegetation be cleared to make for way crops.,scrambled
Scr7,discourage the beekeepers also of use pesticides on because crops they kill could the honeybees.,scrambled
backward,habitats local of conservation the encourages beekeeping.,scrambled
backward,pollen produce that plants local conserve to interest beekeeper's every in is it.,scrambled
backward,crops for way make to cleared be vegetation native that require not does it agriculture of form passive a as.,scrambled
backward,honeybees the kill could they because crops on pesticides of use the discourage also beekeepers.,scrambled
lowPMI,beekeeping conservation habitats the of encourages local.,scrambled
lowPMI,it beekeeper's conserve plants pollen in to every that is interest local produce.,scrambled
lowPMI,passive agriculture does require vegetation cleared way as of to a that for form it not native be make crops.,scrambled
lowPMI,beekeepers discourage pesticides they honeybees the on could of because the also use crops kill.,scrambled
lowPMI_random,encourages the beekeeping of habitats conservation local.,scrambled
lowPMI_random,in that pollen to is plants every beekeeper's conserve produce interest it local.,scrambled
lowPMI_random,agriculture cleared as not crops make a that of vegetation for form passive does be native way it to require.,scrambled
lowPMI_random,kill the beekeepers discourage pesticides of use could also on honeybees crops they the because.,scrambled
random-wl,three climb around the the spears vapor.,scrambled
random-wl,of shears metallic is in individual machine for fracture a singer can have.,scrambled
random-wl,insulation body used i've control a fever shark a side crop humble pliers treated and places beekeeper large characteristic own.,scrambled
random-wl,stop stone the act are flood export and genetic cultures edge varieties reptiles used people.,scrambled
random-wl_poscontrolled,legs emphasize to jacket up throwing large.,scrambled
random-wl_poscontrolled,mountaineers cool on a spent waters small a in gambling surroundings composition went.,scrambled
random-wl_poscontrolled,to in is as backgrounds unlocked streamlined a decoration wood can turn can sand is house spread slammed a internal.,scrambled
random-wl_poscontrolled,have animal television and studies and need one the the sometimes dark cooking can start.,scrambled
nouns,conservation habitats.,perturbed
nouns,it beekeeper's interest plants pollen.,perturbed
nouns,form agriculture it vegetation way crops.,perturbed
nouns,beekeepers use pesticides crops they honeybees.,perturbed
randomnouns,its doctors.,perturbed
randomnouns,images ligaments chamber documentary jacket.,perturbed
randomnouns,factor compartments world spears density studies.,perturbed
randomnouns,horror computer sea attack food collar.,perturbed
nounsverbs,beekeeping encourages conservation habitats.,perturbed
nounsverbs,it is beekeeper's interest conserve plants produce pollen.,perturbed
nounsverbs,form agriculture it does require vegetation be cleared make way crops.,perturbed
nounsverbs,beekeepers discourage use pesticides crops they kill honeybees.,perturbed
nounsverbsadj,beekeeping encourages conservation local habitats.,perturbed
nounsverbsadj,it is beekeeper's interest conserve local plants produce pollen.,perturbed
nounsverbsadj,passive form agriculture it does require native vegetation be cleared make way crops.,perturbed
nounsverbsadj,beekeepers discourage use pesticides crops they kill honeybees.,perturbed
contentwords,beekeeping encourages conservation local habitats.,perturbed
contentwords,it is beekeeper's interest conserve local plants produce pollen.,perturbed
contentwords,passive form agriculture it does not require native vegetation be cleared make way crops.,perturbed
contentwords,beekeepers also discourage use pesticides crops they kill honeybees.,perturbed
functionwords,the of.,perturbed
functionwords,in every to that.,perturbed
functionwords,as a of that to for.,perturbed
functionwords,the of on because could the.,perturbed
sentenceshuffle-random,and for society hip fractures involve substantial expense and time in the hospital.,perturbed
sentenceshuffle-random,mosquitos are thin small flying insects that emit a high-pitched sound.,perturbed
sentenceshuffle-random,elephants are the largest kind of land mammal weighing several tons.,perturbed
sentenceshuffle-random,a raven is a large black bird that thrives in many climates.,perturbed
sentenceshuffle-topic-criteria,clearly he had it tailored as it fit the man perfectly.,perturbed
sentenceshuffle-topic-criteria,a log cabin is a small house built from round logs.,perturbed
sentenceshuffle-topic-criteria,people use bicycles for transportation recreation and racing.,perturbed
sentenceshuffle-topic-criteria,a tuxedo jacket is a tailless dinner jacket with black silk lapels.,perturbed
sentenceshuffle-topic-length-criteria,its purpose was to dominate its surroundings.,perturbed
sentenceshuffle-topic-length-criteria,drunk driving of any vehicle is a crime in most of the world.,perturbed
sentenceshuffle-topic-length-criteria,we poured the cream mixture into a frozen tub then start turning the crank to expose it to the cold.,perturbed
sentenceshuffle-topic-length-criteria,no one really knows exactly how a taste gets from your mouth to your brain.,perturbed
sentenceshuffle-topic-length-criteria,its purpose was to dominate its surroundings.,perturbed
sentenceshuffle-topic-length-criteria,drunk driving of any vehicle is a crime in most of the world.,perturbed
sentenceshuffle-topic-length-criteria,we poured the cream mixture into a frozen tub then start turning the crank to expose it to the cold.,perturbed
sentenceshuffle-topic-length-criteria,no one really knows exactly how a taste gets from your mouth to your brain.,perturbed
sentenceshuffle-withinpassage,it is in every beekeeper's interest to conserve local plants that produce pollen.,perturbed
sentenceshuffle-withinpassage,beekeepers also discourage the use of pesticides on crops because they could kill the honeybees.,perturbed
sentenceshuffle-withinpassage,beekeeping encourages the conservation of local habitats.,perturbed
sentenceshuffle-withinpassage,as a passive form of agriculture it does not require that native vegetation be cleared to make way for crops.,perturbed
sentenceshuffle-withintopic,artisanal honey-making emphasizes quality and character over quantity and consistency.,perturbed
sentenceshuffle-withintopic,beekeeping encourages the conservation of local habitats.,perturbed
sentenceshuffle-withintopic,the beekeeper checks honey stores pollen supplies and the bee nursery.,perturbed
sentenceshuffle-withintopic,bees crawl across his bare arms and hands but they don't sting because they're gentle.,perturbed
