Index	Sentence	Surprisal	PPL
0	beekeeping conservation habitats the of encourages local.	14.1133850642613	1346992.7381658463
1	it beekeeper's conserve plants pollen in to every that is interest local produce.	10.270980174724873	28882.182882510984
2	passive agriculture does require vegetation cleared way as of to a that for form it not native be make crops.	8.759963035583496	6373.875967030817
3	beekeepers discourage pesticides they honeybees the on could of because the also use crops kill.	10.362972895304361	31665.17879229881
4	artisanal go their their is to but the for worth beekeepers extremes craft product effort.	11.226909637451172	75125.07254176147
5	artisanal emphasizes character consistency and and over honey-making quality quantity.	11.30990219116211	81625.92437435222
6	produce honey become their to of the finest beekeepers micromanagers honeybees.	10.929311362179844	55787.84885384657
7	they fields nectar select ways honey the and to when the scout know flows best extract.	10.037984848022461	22879.23130277048
8	beekeeper hive hum fills as the of the the the 40000 opens deep bees air.	10.326098759969076	30518.818122781737
9	beekeeper honey pollen bee the the and checks stores supplies nursery.	12.086003910411488	177371.89524615248
10	bees his arms they sting gentle across but and because crawl bare hands don't they're.	10.431698481241861	33917.91029849039
11	i recurring exams i'm college a though in about no have dream even longer.	9.823975835527692	18471.343969211066
12	my it's my exam suddenly i've gone in of to the and dream day final i realize never class.	8.33251912970292	4156.87608354878
13	i've even reading any the of never done assignments.	10.642245875464546	41866.69308941581
14	i many people same who the know other have nightmare.	9.913756513595581	20206.437355680486
15	morning study write dream previous each the down the in to from participants had their experience night.	9.396757238051471	12049.244478234856
16	they they dreams dream emotional if and and any each recorded recalled described its intensity.	10.467923355102538	35169.10773556431
17	participants assigned category flying bad nightmare each a a or to as a a then dream such dream dream.	9.719834478277908	16644.48947686325
18	night sleep minds as we awake every as while when we our are active are.	8.787078094482421	6549.068432589877
19	we night ninety each throughout in about the of dream cycles minutes.	10.238778591156006	27966.945981476085
20	images stories combinations places our and and of can feelings strange characters fill dreams.	11.096460751124791	65937.37791500324
21	i start cards went worse when from to to decided playing things bad.	9.028128990760216	8334.251513729496
22	gambling something had i already close doing to to and was i do had spent $10000 it.	9.179069631239948	9692.131320739474
23	my were watching gamble savings of friends sick me my away.	10.701248689131303	44411.27639927564
24	hardest was leaving losing i not the of after the a part horror casino money did have.	9.559758382685045	14182.419067572328
25	good social effects gambling hard by on and to the of data economic legalized are come.	9.430176436901093	12458.724716480436
26	studies having nearby gambling more some a that indicate casino makes problems likely.	10.428168847010685	33798.40351294253
27	gambling be personal marriage may and with also associated bankruptcies problems.	10.663677562366832	42773.651052035966
28	past has dramatic legalized over there of the a generation been expansion gambling.	10.245310856745792	28150.231483411226
29	most have lotteries have well and as states instituted many casinos.	10.415686173872514	33379.13135210284
30	gambling become big business but has very controversial.	9.451887845993042	12732.178982507387
31	wind shook shattering kitchen the the a the from the in hurricane house window.	9.760768004826136	17339.94372297573
32	we grabbed slammed surrendered hurricane in the the the some and to ran food door kitchen.	10.374534606933594	32033.407030692448
33	i afraid house ripped foundation would from was our be its.	11.081558400934393	64962.04147145777
34	later wind house fell huddled that the on with the the night shaking we asleep sofa.	9.939287900924683	20728.977942804613
35	hurricanes limbs suck their can of off off and tear trees houses foundations.	10.077150931725136	23793.10071535656
36	they heavy trigger mudslides that and can dump rains floods.	10.449176788330078	34515.94907864765
37	hurricanes bring surge ocean lurches can a that a of onto also storm wall water land.	10.21730661392212	27372.841478845072
38	scientists several look ancient to of for use methods evidence hurricanes.	11.599090316078879	108998.59988956053
39	strongest deposited windblown sand coastal the at of of the storms layers beach bottoms lakes.	10.634212684631347	41531.71721821346
40	trees passing preserve storm growth by of in a each drenched hurricanes record their rings.	10.420807520548502	33550.51594085512
41	american cream exported different have preferences around but the ice is world countries different.	9.641844953809466	15395.721941603104
42	many enjoy ice flavored delicacies with people their cream local.	10.347688102722168	31184.863215466252
43	tropical vanilla cream topped fresh in with some and places ice is bananas mangos.	9.239226136888776	10293.070047831648
44	i making cream child at a as remember ice home.	10.500011539459228	36315.921737926976
45	we cream frozen then turning expose cold the a to the into the to poured mixture tub start crank it.	9.438752746582031	12566.034099384362
46	eventually froze couldn't hand more enough the that any it i turn crank.	10.514094939598671	36830.99185113189
47	then put half-frozen cream harden the into to of the i container ice freezer.	9.87590217590332	19455.83250669074
48	ice is milk sugar up whipped-in a or to of and cream mixture cream flavorings half air.	9.881055158727309	19556.346829298178
49	butterfat cream makes smooth the and and in what milk is it silky.	9.510040466602032	13494.540383645308
50	high-priced ice is butterfat flavorings with and premium cream loaded natural.	11.490176114169033	97750.74645326899
51	i riding mower chair my hurt when the the use lawn uncomfortable makes back.	10.664919172014509	42826.792213310946
52	i levers me machine the in to two of the use front control.	8.660821767953726	5772.276185609534
53	sharp lawn precisely blade the the of underneath each blades mower sever grass.	11.348007275508	84796.30735653584
54	mowing is task has me the and a lawn long it taught patience.	9.732298740973839	16853.24908071738
55	lawn is revolving cut even a with to a that an mower machine blades grass height.	10.182314157485962	26431.563377766335
56	blades powered machine motor the by the a may or may be muscle have.	9.35719667162214	11581.875191145715
57	most power lawn is gas the a for common source mowers small engine.	10.100112768319937	24345.754699470504
58	electric are environment do create for because the lawnmowers better they not emissions.	10.372636061448317	31972.647845684885
59	they need maintenance less run and to also less are expensive.	8.258199691772461	3859.140200923007
60	electric mowers much ordinary as an as lawn use electricity toaster.	11.065594066273082	63933.19993719373
61	astronauts long their a for train time spacewalks.	11.031548380851746	61793.18614735198
62	much training conducted of their is underwater.	10.792323521205358	48645.93466407732
63	they hours hour spend space may to in for will 8 10 the every in spend pool they floating.	9.85905556929739	19130.813173573533
64	astronauts be perform repair outside station to and the the to on of practice able construction work space.	9.604041337966919	14824.571772732112
65	commanders flights always many backgrounds test the and of as shuttle are pilots have military pilots.	10.306898355484009	29938.434104411535
66	other are doctors scientists experiments as who in and can astronauts trained engineers run space.	10.07618293762207	23770.080277791887
67	early were men now much diverse all but crews young astronauts are more.	10.18857163649339	26597.476889518573
