Index	Sentence	Surprisal	PPL
0	habitats local of conservation the encourages beekeeping.	87.39219427108765	8.993893349415542e+37
1	pollen produce that plants local conserve to interest beekeeper's every in is it.	139.73263359069824	4.8429692355911566e+60
2	crops for way make to cleared be vegetation native that require not does it agriculture of form passive a as.	192.12071228027344	2.735049574768565e+83
3	honeybees the kill could they because crops on pesticides of use the discourage also beekeepers.	144.3628535270691	4.9658166306189825e+62
4	effort the worth is product their but craft their for extremes to go beekeepers artisanal.	151.74092960357666	7.947827007893364e+65
5	consistency and quantity over character and quality emphasizes honey-making artisanal.	103.46842288970947	8.62511932816654e+44
6	honeybees their of micromanagers become beekeepers honey finest the produce to.	136.90377759933472	2.861245766501586e+59
7	honey extract to ways best the select and flows nectar when know fields the scout they.	170.09039497375488	7.401503721609386e+73
8	air the fills bees 40000 of hum deep the hive the opens beekeeper the as.	160.92609405517578	7.75023091640573e+69
9	nursery bee the and supplies pollen stores honey checks beekeeper the.	141.42076683044434	2.619742833512438e+61
10	gentle they're because sting don't they but hands and arms bare his across crawl bees.	158.3146448135376	5.690843558389956e+68
11	college in longer no i'm though even exams about dream recurring a have i.	156.1914768218994	6.809206484677125e+67
12	class to gone never i've realize suddenly i and exam final my of day the it's dream my in.	183.5793914794922	5.3396981916783216e+79
13	assignments reading the of any done even never i've.	105.45948028564453	6.316410581887203e+45
14	nightmare same the have who people other many know i.	124.43396949768066	1.0989712072153821e+54
15	night previous the from experience dream their down write to had study the in participants morning each.	167.8567886352539	7.930070609318726e+72
16	intensity emotional its and dream each described and dreams any recalled they if recorded they.	154.47060585021973	1.2182368635314596e+67
17	nightmare a or dream bad a dream flying a as such category a to dream each assigned then participants.	175.7430500984192	2.109778637552199e+76
18	awake are we when as active as are minds our sleep we while night every.	142.78362035751343	1.0236192096506145e+62
19	each minutes ninety about of cycles in night the throughout dream we.	131.91288471221924	1.9455299572656374e+57
20	dreams our fill can places and characters of combinations strange and stories feelings images.	139.39940643310547	3.4705075575953974e+60
21	worse to bad from went things cards playing start to decided i when.	142.24239826202393	5.95783755791675e+61
22	it doing $10000 to close spent already had i and do to had i something was gambling.	152.95065021514893	2.6645470415957764e+66
23	away savings my gamble me watching of sick were friends my.	121.56526565551758	6.239130438255786e+52
24	have not did i money losing after casino a leaving of horror the was part hardest the.	166.49999618530273	2.04187701402124e+72
25	by come to hard are gambling legalized of effects economic and social the on data good.	140.42804479599	9.707892518306931e+60
26	likely more problems gambling makes nearby casino a having that indicate studies some.	136.23191833496094	1.461404337349951e+59
27	problems marriage and bankruptcies personal with associated be also may gambling.	127.80939483642578	3.2130309786729474e+55
28	gambling legalized of expansion dramatic a been has there generation past the over.	142.14256191253662	5.391756644526564e+61
29	well as casinos have many and lotteries instituted have states most.	122.0669937133789	1.0304378249539005e+53
30	business controversial but big very become has gambling.	93.0908842086792	2.684462411993171e+40
31	kitchen the in window a shattering house the shook hurricane the from wind the.	140.30896282196045	8.61803622259929e+60
32	hurricane the to kitchen the surrendered and door the slammed food some grabbed in ran we.	163.20783615112305	7.59036470926633e+70
33	foundation its from ripped be would house our afraid was i.	132.032808303833	2.1934113000495917e+57
34	sofa the on huddled asleep fell we house the shaking wind the with night that later.	159.7744746208191	2.4500371904818637e+69
35	foundations their off houses suck and trees of off limbs tear can hurricanes.	151.06312942504883	4.035371554716652e+65
36	mudslides and floods trigger can that rains heavy dump they.	117.3082709312439	8.837608262856591e+50
37	land onto lurches that water ocean of wall a surge storm a bring also can hurricanes.	163.4336280822754	9.513116900913139e+70
38	hurricanes ancient of evidence for look to methods several use scientists.	120.58859825134277	2.3494315743737815e+52
39	lakes coastal of bottoms the at sand beach windblown of layers deposited storms strongest the.	164.8269968032837	3.8322618901196605e+71
40	rings growth their in storm each of record a preserve hurricanes passing by drenched trees.	155.90679454803467	5.1222475504814e+67
41	preferences different have countries different but world the around exported is cream ice american.	148.50322723388672	3.1198386391655713e+64
42	delicacies local with flavored cream ice their enjoy people many.	119.58550930023193	8.616418900126838e+51
43	mangos fresh and bananas with topped is cream ice vanilla places tropical some in.	144.4432773590088	5.38168538325236e+62
44	child a as home at cream ice making remember i.	113.83173847198486	2.732095549458841e+49
45	cold the to it expose to crank the turning start then tub frozen a into mixture cream the poured we.	193.7431116104126	1.385365216237948e+84
46	more any crank hand the turn couldn't i that enough froze it eventually.	128.13536643981934	4.451256096155625e+55
47	harden to freezer the into cream ice half-frozen of container the put i then.	153.09116077423096	3.0665238897840913e+66
48	air whipped-in half to up and flavorings sugar cream or milk of mixture a is cream ice.	162.10511541366577	2.519748019048224e+70
49	silky and smooth it makes what is cream and milk in butterfat the.	111.26977157592773	2.10788929398165e+48
50	flavorings natural and butterfat with loaded is cream ice premium high-priced.	133.26546430587769	7.52412109056231e+57
51	hurt back my makes chair uncomfortable the mower lawn riding the use i when.	156.6780824661255	1.1077114636351335e+68
52	machine the control to me of front in levers two the use i.	122.85023498535156	2.2551693201281988e+53
53	grass of blade each sever precisely mower lawn the underneath blades sharp the.	151.95928955078125	9.887373174587593e+65
54	patience me taught has it and task long a is lawn the mowing.	140.05364227294922	6.676118082840284e+60
55	height even an to grass cut that blades revolving with machine a is mower lawn a.	160.03267288208008	3.1718070268406623e+69
56	motor a have may machine the or muscle by powered be may blades the.	138.95171356201172	2.2180046432565598e+60
57	engine gas small a is mowers lawn for source power common most the.	141.8549690246582	4.044178145614451e+61
58	emissions create not do they because environment the for better are lawnmowers electric.	133.49992561340332	9.512201212833645e+57
59	run to expensive less are and maintenance less need also they.	108.31697177886963	1.100178465655375e+47
60	toaster ordinary an as electricity much as use mowers lawn electric.	121.23853302001953	4.5001385461207043e+52
61	spacewalks their for time long a train astronauts.	95.75248527526855	3.843934542636744e+41
62	underwater conducted is training their of much.	86.9279317855835	5.653548181653882e+37
63	space in floating spend will they hour every for pool the in hours 10 to 8 spend may they.	173.50145530700684	2.242459674612147e+75
64	station space the of outside the on work repair and construction perform to able be to practice astronauts.	155.3217158317566	2.853409517408745e+67
65	pilots test military as backgrounds have many and pilots always are flights shuttle of commanders the.	170.14502906799316	7.817128435847493e+73
66	space in experiments run can who scientists and engineers doctors as trained are astronauts other.	149.46689987182617	8.178051507371718e+64
67	diverse more much are now astronauts but men young all were crews early.	132.71502256393433	4.339123040413617e+57
68	shuttle space the of exterior the to together out floated astronauts of team the.	149.36271858215332	7.368930869889582e+64
69	telescope huge the on part broken the repair to needed tools carried they.	140.92721843719482	1.5992387976287118e+61
70	place into part replacement the fitted other the while pipe the on bolts the loosened astronaut one.	152.28033113479614	1.3630365895101705e+66
71	artists experimental by time long a for art in used been have computers.	126.64460611343384	1.0024289438774547e+55
72	world art mainstream the entered have graphics computer widespread and affordable more are computers that now.	152.9343662261963	2.621508953902747e+66
73	technology graphics latest the showcase that exhibitions art have conferences science computer some.	153.01568603515625	2.8435972771861818e+66
74	cultures two the bridging to devoted are that up sprung have conferences new brand.	159.87651920318604	2.713251650342671e+69
75	procedures surgical and conditions medical visualize to doctors with works specialist graphics computer the.	144.31069469451904	4.713444367048749e+62
76	body patient's a within structures understand doctors help to animation digital uses she.	154.87506866455078	1.8255246660235622e+67
77	x-rays at squinting than clearer much is screen a on animation an in structures internal the seeing.	179.05508422851562	5.789419734372132e+77
78	education for tool powerful a is animation digital modern.	108.23414611816406	1.0127270557435386e+47
79	students help actually graphics if ask must we broadens graphics computer of field the as.	158.58619689941406	7.466382234092342e+68
80	classroom the in effective be can imagery digital engaging and vivid that suggest does research.	150.96213340759277	3.6477201754533393e+65
81	cliche was place first the in school law to came he reason the.	134.85376262664795	3.683366828605299e+58
82	better the for things change to wanted he.	78.85408687591553	1.761549314444383e+34
83	all-nighter an pulled had director program the and he when school law at evening one recalled he.	183.08337879180908	3.25163011772418e+79
84	sunrise at families evicted several for petition a drafting finished finally they.	147.48515224456787	1.1271657464303657e+64
85	relentlessly up gone has education legal of cost the decades four past the over.	147.78802251815796	1.5258880470975877e+64
86	1970s the since four of factor a by increased tuition school law private.	139.13750076293945	2.670845751984119e+60
87	crash eventually could lawyers new for and school law to admission for market the.	151.41412353515625	5.732160386913248e+65
88	law practicing actually in experience minimal have often faculty school law.	125.80859375	4.344882554517458e+54
89	journals prestigious for articles review law writing on focus professors.	103.34683799743652	7.637680103544628e+44
90	england feudal in law property like topics on classes with theoretical the emphasize often schools law.	170.25604248046875	8.73493665678212e+73
91	care preventive in involved increasingly are pharmacists.	90.99509811401367	3.301178372290402e+39
92	often pharmacies to go people because advisers health front-line becoming are they.	136.29853630065918	1.5620761690273351e+59
93	health public about information of source good a often are pharmacists.	114.6252965927124	6.041347215532092e+49
94	effects side and interactions drug about lot a know they because pharmacists with consult doctors.	151.5039520263672	6.270906877553826e+65
95	medications of use safe the about advice offer and patients to drugs prescription dispense pharmacists.	141.21700716018677	2.1368151814545986e+61
96	vaccines provide and screenings wellness and health conduct also they.	107.69474792480469	5.905201939272665e+46
97	licensed be to order in exams two pass and degrees professional have must pharmacists.	143.05226612091064	1.3390901024276677e+62
98	pharmacist a be to chose i as much as me chose profession pharmacy the think i.	158.76293277740479	8.909752415273138e+68
99	child a as pharmacies in bottles arranged neatly the by fascinated was i.	147.4514923095703	1.0898568506649668e+64
100	patients my of lives on have i that impact the love i but cliche it's know i.	168.25155973434448	1.1768577298978422e+73
101	situations stressful potentially to response own her or his has person each.	125.09696960449219	2.1326697162851527e+54
102	stressful fulltime working find may another while unemployment by devastated be may person one.	164.92823219299316	4.2405398761376114e+71
103	traffic in stuck being like stresses everyday are there.	99.54059171676636	1.6979688082527322e+43
104	child a of loss or divorce as such stresses traumatic also are there.	117.26274108886719	8.444255934584597e+50
105	stress of levels different to adapt can people some.	94.21389198303223	8.2522695812459465e+40
106	health on toll real a take can stress though effectively with dealt not if.	148.75823593139648	4.026067043764626e+64
107	beneficial or harmful be will it if determines that stress to reaction your it's that remember.	148.5988883972168	3.4330272276508906e+64
108	worried and stressed incredibly felt i downsizing was company my when.	131.36843156814575	1.128716636602696e+57
109	times at dizzy felt even i and reason no for race would heart my.	140.5616226196289	1.1095249458364192e+61
110	level stress my manage to try to yoga taking started i then.	123.04621696472168	2.7434247153335885e+53
111	stripes satin with tuxedo black jet a wore man the.	116.79488611221313	5.289012008302076e+50
112	style latest the in cut fabric rich with made was it.	112.43902206420898	6.786515308589371e+48
113	perfectly man the fit it as tailored it had he clearly.	104.79912042617798	3.2634706363104247e+45
114	event formal a for out picked have would stylist professional a something like looked it.	150.9147138595581	3.4787840261234073e+65
115	attire wedding in statements personal making are grooms today's preferred still is tuxedo the while.	173.02730560302734	1.3957384477957471e+75
116	men for fashion wedding of edge cutting the on are jackets shorter.	118.28966617584229	2.358029784158672e+51
117	ties satin and shirts colorful with tuxedos their up jazzing also are grooms.	142.2634677886963	6.084698128325818e+61
118	lapels silk black with jacket dinner tailless a is jacket tuxedo a.	141.01984977722168	1.7544564688400653e+61
119	jacket tuxedo the to match perfect a be should trousers tie black.	120.16834545135498	1.5432963496984913e+52
120	lapels jacket the match and black be should tie the and white plain be always should shirt the.	150.41343116760254	2.1072844392664955e+65
121	adulthood in blind went pianist concert the.	98.73617506027222	7.595843232120604e+42
122	eyes the damaged slowly that condition genetic a by caused was blindness her.	137.71701049804688	6.452644271689516e+59
123	pianist a to advantage an was blind being that interviewers told she.	131.9776954650879	2.075796975308844e+57
124	music her on fully more concentrate could she so distractions visual no had she.	149.35770797729492	7.332100417549334e+64
125	life of activities ordinary the for insufficient vision as blindness defines government the.	135.36231994628906	6.125035501850074e+58
126	blind legally the on focused be can resources blindness legal of parameters the establishing by.	169.57342529296875	4.413700725801018e+73
127	standard the meet not do who but problems vision have who those overlook may this.	149.1467685699463	5.937704544262371e+64
128	deficiencies nutritional and disease infectious by caused usually is children in blindness countries developing in.	157.17985153198242	1.8295411695374098e+68
129	supplements vitamin and medicine by prevented be often can causes these.	118.41729640960693	2.679035031765689e+51
130	problems genetic by caused be to likely more is blindness countries developed in.	139.79919624328613	5.1763007676964314e+60
131	brain your to mouth your from gets taste a how exactly knows really one no.	149.6791591644287	1.0111902676566597e+65
