score,error,condition,category,stimulus,labelname
1.1071986381813586,0.14183952843154385,Original,original,beekeeping encourages the conservation of local habitats.,Original: beekeeping encourages the conservation of local habitats.
1.0193740878351778,0.12039255587540987,1LocalWordSwap,word-order,beekeeping encourages the conservation of habitats local.,1LocalWordSwap: beekeeping encourages the conservation of habitats local.
0.924364417437905,0.08600593302985261,3LocalWordSwaps,word-order,beekeeping conservation encourages the of habitats local.,3LocalWordSwaps: beekeeping conservation encourages the of habitats local.
0.9075446561978194,0.07172237701115747,5LocalWordSwaps,word-order,conservation beekeeping encourages the habitats of local.,5LocalWordSwaps: conservation beekeeping encourages the habitats of local.
0.9144750318071547,0.09939972427914016,7LocalWordSwaps,word-order,beekeeping conservation of encourages habitats local the.,7LocalWordSwaps: beekeeping conservation of encourages habitats local the.
0.8350830659286942,0.06496520148210437,ReverseOrder,word-order,habitats local of conservation the encourages beekeeping.,ReverseOrder: habitats local of conservation the encourages beekeeping.
0.9332124490151419,0.07026861457541364,LowPMI,word-order,beekeeping conservation habitats the of encourages local.,LowPMI: beekeeping conservation habitats the of encourages local.
0.8892169099163384,0.09379729525189934,LowPMIRand,word-order,encourages the beekeeping of habitats conservation local.,LowPMIRand: encourages the beekeeping of habitats conservation local.
0.8832145789820643,0.11119099250886387,KeepContentW,information-loss,beekeeping encourages conservation local habitats.,KeepContentW: beekeeping encourages conservation local habitats.
0.8561480774002923,0.05510054812992574,KeepNVAdj,information-loss,beekeeping encourages conservation local habitats.,KeepNVAdj: beekeeping encourages conservation local habitats.
0.8088081433957319,0.09849572806627312,KeepNV,information-loss,beekeeping encourages conservation habitats.,KeepNV: beekeeping encourages conservation habitats.
0.6448181065007345,0.07811205094790735,KeepN,information-loss,conservation habitats.,KeepN: conservation habitats.
0.1858815255280236,0.04085593747847073,KeepFunctionW,information-loss,the of.,KeepFunctionW: the of.
0.8919672734425607,0.08215454782909629,RandSentFromPassage,semantic-distance,it is in every beekeeper's interest to conserve local plants that produce pollen.,RandSentFromPassage: it is in every beekeeper's interest to conserve local plants that produce pollen.
0.3136100093381797,0.13149808442199187,RandSentFromTopic,semantic-distance,artisanal honey-making emphasizes quality and character over quantity and consistency.,RandSentFromTopic: artisanal honey-making emphasizes quality and character over quantity and consistency.
0.06891039924094823,0.03422608613297544,RandSent,semantic-distance,and for society hip fractures involve substantial expense and time in the hospital.,RandSent: and for society hip fractures involve substantial expense and time in the hospital.
0.1087085592063385,0.0703732553088212,RandWordList,control,three climb around the the spears vapor.,RandWordList: three climb around the the spears vapor.
