Index	Sentence	Surprisal	PPL
0	beekeeping conservation habitats the of encourages local.	8.258916854858398	3861.9088264779257
1	it beekeeper's conserve plants pollen in to every that is interest local produce.	7.911865234375	2729.4768352499236
2	passive agriculture does require vegetation cleared way as of to a that for form it not native be make crops.	7.347705841064453	1552.6304577971407
3	beekeepers discourage pesticides they honeybees the on could of because the also use crops kill.	7.601848602294922	2001.8931809741791
4	artisanal go their their is to but the for worth beekeepers extremes craft product effort.	8.281113624572754	3948.5891803873583
5	artisanal emphasizes character consistency and and over honey-making quality quantity.	7.613190174102783	2024.7270373871766
6	produce honey become their to of the finest beekeepers micromanagers honeybees.	6.415459156036377	611.2213423667174
7	they fields nectar select ways honey the and to when the scout know flows best extract.	7.894039154052734	2681.2520682537897
8	beekeeper hive hum fills as the of the the the 40000 opens deep bees air.	7.688564300537109	2183.2378376792394
9	beekeeper honey pollen bee the the and checks stores supplies nursery.	7.69801664352417	2203.9723912189324
10	bees his arms they sting gentle across but and because crawl bare hands don't they're.	7.371147632598877	1589.4568492339529
11	i recurring exams i'm college a though in about no have dream even longer.	7.8733673095703125	2626.3945985064806
12	my it's my exam suddenly i've gone in of to the and dream day final i realize never class.	6.571915149688721	714.7373622498102
13	i've even reading any the of never done assignments.	7.757792949676514	2339.734989707594
14	i many people same who the know other have nightmare.	7.70928430557251	2228.9464426474583
15	morning study write dream previous each the down the in to from participants had their experience night.	7.3174591064453125	1506.3715731480308
16	they they dreams dream emotional if and and any each recorded recalled described its intensity.	8.249552726745605	3825.914209589782
17	participants assigned category flying bad nightmare each a a or to as a a then dream such dream dream.	7.146476745605469	1269.624854432174
18	night sleep minds as we awake every as while when we our are active are.	7.095693111419678	1206.758491783702
19	we night ninety each throughout in about the of dream cycles minutes.	8.233175277709961	3763.7657999320463
20	images stories combinations places our and and of can feelings strange characters fill dreams.	8.176942825317383	3557.960709548862
21	i start cards went worse when from to to decided playing things bad.	7.39886999130249	1634.1367974780546
