Index	Sentence	Surprisal	PPL
0	beekeeping conservation habitats the of encourages local.	98.7936954498291	8.04556931358537e+42
1	it beekeeper's conserve plants pollen in to every that is interest local produce.	133.52274227142334	9.731732819796707e+57
2	passive agriculture does require vegetation cleared way as of to a that for form it not native be make crops.	175.19926071166992	1.2248196934249337e+76
3	beekeepers discourage pesticides they honeybees the on could of because the also use crops kill.	155.44459342956543	3.226481417254591e+67
4	artisanal go their their is to but the for worth beekeepers extremes craft product effort.	168.40364456176758	1.370167195907759e+73
5	artisanal emphasizes character consistency and and over honey-making quality quantity.	113.0990219116211	1.3130495792805943e+49
6	produce honey become their to of the finest beekeepers micromanagers honeybees.	120.22242498397827	1.6290550915417083e+52
7	they fields nectar select ways honey the and to when the scout know flows best extract.	160.60775756835938	5.637192465520839e+69
8	beekeeper hive hum fills as the of the the the 40000 opens deep bees air.	154.89148139953613	1.8557337472633813e+67
9	beekeeper honey pollen bee the the and checks stores supplies nursery.	132.94604301452637	5.466796051644787e+57
10	bees his arms they sting gentle across but and because crawl bare hands don't they're.	156.47547721862793	9.045577715178477e+67
11	i recurring exams i'm college a though in about no have dream even longer.	137.5356616973877	5.382436812418593e+59
12	my it's my exam suddenly i've gone in of to the and dream day final i realize never class.	158.31786346435547	5.709189906068452e+68
13	i've even reading any the of never done assignments.	95.78021287918091	3.9520090364140945e+41
14	i many people same who the know other have nightmare.	99.13756513595581	1.134742936041431e+43
15	morning study write dream previous each the down the in to from participants had their experience night.	159.744873046875	2.378575146078604e+69
16	they they dreams dream emotional if and and any each recorded recalled described its intensity.	157.0188503265381	1.5574720139443518e+68
17	participants assigned category flying bad nightmare each a a or to as a a then dream such dream dream.	184.67685508728027	1.6000704311675393e+80
18	night sleep minds as we awake every as while when we our are active are.	131.80617141723633	1.748609877538936e+57
19	we night ninety each throughout in about the of dream cycles minutes.	122.86534309387207	2.289499340790395e+53
20	images stories combinations places our and and of can feelings strange characters fill dreams.	155.35045051574707	2.936590707435635e+67
21	i start cards went worse when from to to decided playing things bad.	117.36567687988281	9.359784157996719e+50
22	gambling something had i already close doing to to and was i do had spent $10000 it.	156.0441837310791	5.876624312133374e+67
23	my were watching gamble savings of friends sick me my away.	117.71373558044434	1.325640631081623e+51
24	hardest was leaving losing i not the of after the a part horror casino money did have.	162.51589250564575	3.7997527394996034e+70
