Index	Sentence	Surprisal	PPL
0	beekeeping encourages conservation habitats.	7.60830545425415	2014.8609292442304
1	it is beekeeper's interest conserve plants produce pollen.	7.404754161834717	1643.780682373687
2	form agriculture it does require vegetation be cleared make way crops.	7.684858322143555	2175.1617795165694
3	beekeepers discourage use pesticides crops they kill honeybees.	6.955885410308838	1049.3071941775818
4	beekeepers go extremes their craft their product is effort.	7.939930438995361	2807.1652322751306
5	honey-making emphasizes quality character quantity consistency.	7.815971851348877	2479.8958724168856
6	produce honey beekeepers become micromanagers their honeybees.	5.611279010772705	273.49381593698246
7	they scout fields know nectar flows select ways extract honey.	8.253304481506348	3840.2950612858767
8	beekeeper opens hum bees fills air.	8.926444053649902	7528.446968580586
9	beekeeper checks honey stores pollen supplies bee nursery.	7.858613967895508	2587.9309330885903
10	bees crawl his bare arms hands they don't sting they're gentle.	6.59162712097168	728.966021345939
11	i have dream exams college.	8.230975151062012	3755.4941411840123
12	my dream it's day my exam i realize gone class.	7.458096027374268	1733.8437216813609
13	i've done reading assignments.	7.261428356170654	1424.2894776382195
14	i know people have nightmare.	6.597464561462402	733.233761335565
15	morning participants study had write their dream experience night.	8.82746410369873	6818.972663898104
16	they recorded they recalled dreams described dream its intensity.	8.918388366699219	7468.043777825152
17	participants assigned dream category flying dream dream nightmare.	8.363388061523438	4287.195469901632
18	night we sleep our minds are we are.	6.440263271331787	626.5717364745107
19	we dream night cycles ninety minutes each.	7.670938968658447	2145.0946765899967
20	images feelings stories combinations characters places fill our dreams.	8.353964805603027	4246.985879979067
21	i decided start playing cards things went worse.	7.044587135314941	1146.635332840685
22	gambling was something i had do i had spent $10000 doing it.	5.4125518798828125	224.2029974047101
23	my friends were watching me my savings away.	6.6448073387146	768.7819188504134
24	part was horror leaving casino losing money i did have.	8.178778648376465	3564.498495135365
25	data effects gambling are come by.	8.37770938873291	4349.0355581576605
26	studies indicate having casino makes gambling problems likely.	7.6266069412231445	2052.075381466016
27	gambling be associated bankruptcies marriage problems.	7.625677585601807	2050.1691595910497
28	generation has been expansion gambling.	8.265542984008789	3887.5833003815087
29	states have instituted lotteries have casinos well.	6.513301372528076	674.0480320404284
30	gambling has become business.	5.8836541175842285	359.11911050056295
31	wind hurricane shook house shattering window kitchen.	8.673172950744629	5844.012727509742
32	we ran food slammed door surrendered kitchen hurricane.	9.803250312805176	18092.455602233553
33	i was our house be ripped its foundation.	7.603733062744141	2005.6692262838512
34	night wind shaking house we fell huddled sofa.	8.23203182220459	3759.464560813614
35	hurricanes tear limbs trees suck houses their foundations.	8.505620002746582	4942.467615372293
36	they dump rains trigger floods mudslides.	7.6867170333862305	2179.208536882438
37	hurricanes bring storm surge wall water lurches land.	7.43943452835083	1701.7876363579294
38	scientists use methods look evidence ancient hurricanes.	7.982333183288574	2928.756424122259
39	storms deposited layers beach sand bottoms lakes.	8.529997825622559	5064.4348228149065
40	trees drenched passing hurricanes preserve record storm their growth rings.	8.042612075805664	3110.7280448703527
41	ice cream is exported world countries have preferences.	7.926164150238037	2768.785762636925
42	people enjoy their ice cream flavored delicacies.	5.826177597045898	339.0601743365904
43	places vanilla ice cream is topped bananas mangos.	6.982107162475586	1077.18578271071
44	remember making ice cream home child.	7.399351596832275	1634.9239963405926
45	we poured cream mixture tub start turning crank expose it cold.	9.083558082580566	8809.254385313005
46	it froze i couldn't turn hand crank more.	6.745056629180908	849.8472514684815
47	i put container ice cream freezer harden.	6.9972710609436035	1093.6445930329796
48	ice cream is mixture milk cream sugar flavorings half air.	7.26246976852417	1425.7735229126297
49	butterfat milk cream is makes it silky.	6.038812160491943	419.3945654601279
50	premium ice cream is loaded butterfat flavorings.	5.875331878662109	356.14283726790126
51	i use riding lawn mower chair makes my hurt.	6.308363437652588	549.1455021604427
52	i use levers front me control machine.	7.976957321166992	2913.054078038572
53	blades lawn mower blade grass.	6.407410621643066	606.3216504897424
54	mowing lawn is task it has taught me patience.	5.824932098388672	338.6381382219997
55	lawn mower is machine revolving blades cut grass height.	5.6502604484558105	284.36551874026003
56	blades be powered muscle machine have motor.	7.991509437561035	2955.7551217806867
57	power source lawn mowers is gas engine.	6.887178897857666	979.6338680804018
58	lawnmowers are environment they do create emissions.	6.22783899307251	506.6594051215207
59	they need maintenance are run.	7.486112117767334	1783.1060914853624
60	lawn mowers use electricity toaster.	6.494986534118652	661.8153133232528
61	astronauts train time their spacewalks.	5.562501907348633	260.473702850854
62	their training is conducted.	6.5640788078308105	709.1583241155156
63	they spend hours pool hour they spend floating space.	8.052253723144531	3140.865642219775
64	astronauts practice be perform construction repair work outside space station.	6.3019938468933105	545.6587863094024
65	commanders flights are pilots have backgrounds test pilots.	7.832695484161377	2521.717470205819
66	astronauts are trained doctors engineers scientists run experiments space.	6.105974197387695	448.52938483872316
67	crews were men astronauts are.	7.625383377075195	2049.566071064546
68	team astronauts floated exterior space shuttle.	8.548215866088867	5157.54446373906
69	they carried tools needed repair part telescope.	8.842928886413574	6925.246225231679
70	astronaut loosened bolts pipe fitted replacement part place.	7.260259628295898	1422.6258431813305
71	computers have been used art time artists.	6.470729827880859	645.9549909355161
72	computers are computer graphics have entered art world.	6.059384346008301	428.11178697851693
73	computer science conferences have art exhibitions showcase graphics technology.	7.170392990112305	1300.3555292684102
74	brand conferences have sprung are devoted bridging cultures.	8.090692520141602	3263.9471368721047
75	computer graphics specialist works doctors visualize conditions procedures.	8.870088577270508	7115.9112532511135
76	she uses animation help doctors structures patient's body.	7.668963432312012	2140.8611472122925
77	seeing structures animation screen is squinting.	7.4755401611328125	1764.3544665438835
78	animation is tool education.	7.186829566955566	1321.9055419058006
79	field computer graphics we ask graphics help students.	7.9214186668396	2755.6776625013927
80	research does suggest vivid engaging imagery be classroom.	9.424195289611816	12384.429655253243
81	reason he came law school place was cliche.	7.153660297393799	1278.7781073975332
82	he wanted change things better.	7.532547950744629	1867.8586574411358
83	he recalled evening law school he program director had pulled.	7.6362690925598145	2071.9989415821437
84	they finished drafting petition families sunrise.	9.666279792785645	15776.547688227065
85	cost education has gone relentlessly.	8.809033393859863	6694.445246728012
86	law school tuition increased factor.	7.332854747772217	1529.7425737389055
87	market admission law school lawyers crash.	8.974991798400879	7902.953255441468
88	law school faculty have experience practicing law.	5.3597588539123535	212.673654845599
89	professors focus writing law review articles journals.	7.209377288818359	1352.050068482356
90	law schools emphasize classes topics property law england.	8.111677169799805	3333.163625959341
91	pharmacists are involved care.	6.779158592224121	879.3285388825017
92	they are becoming health advisers people go pharmacies.	8.059316635131836	3163.127825189037
93	pharmacists are source information health.	7.439189434051514	1701.370589019661
94	doctors consult pharmacists they know lot drug interactions side effects.	6.417989253997803	612.7697502248045
95	pharmacists dispense prescription drugs patients offer advice use medications.	6.0985026359558105	445.19065826803933
96	they conduct health wellness screenings provide vaccines.	8.187149047851562	3594.4599913802986
97	pharmacists have degrees pass exams order be.	8.289562225341797	3982.090554567337
98	i think pharmacy profession chose me i chose be pharmacist.	6.812430381774902	909.0775297321733
99	i was fascinated arranged bottles pharmacies child.	9.708708763122559	16460.333958541865
100	i know cliche love impact i have lives my patients.	7.211557388305664	1355.0008875142648
101	person has his her response situations.	8.398189544677734	4439.022815824816
102	person be devastated unemployment find working stressful.	9.484076499938965	13148.677996136368
103	are stresses being stuck traffic.	9.55817699432373	14160.008879399224
104	are stresses divorce loss child.	10.362568855285645	31652.38737716272
105	people adapt levels stress.	9.618816375732422	15045.231494205174
106	dealt stress take toll health.	8.840520858764648	6908.590103095527
107	remember it's your reaction stress determines it be beneficial.	7.402610778808594	1640.2612039030257
108	my company was downsizing i felt stressed worried.	6.540829658508301	692.8611778139795
109	my heart race reason i felt dizzy times.	6.642741680145264	767.1955169382325
110	i started taking yoga try manage my stress level.	6.060461521148682	428.57318681235586
111	man wore jet tuxedo satin stripes.	6.624470233917236	753.3050313719754
112	it was made fabric cut style.	7.423929691314697	1675.6051981244523
113	he had it tailored it fit man perfectly.	6.5927324295043945	729.7721991649269
114	it looked something stylist have picked event.	7.951676368713379	2840.332406116702
115	tuxedo is preferred today's grooms are making statements wedding attire.	6.251501083374023	518.7909890056404
116	jackets are cutting edge wedding fashion men.	6.793730735778809	892.2360572827076
