Index	Sentence	Surprisal	PPL
0	habitats local of conservation the encourages beekeeping.	7.421846389770508	1672.118040889005
1	pollen produce that plants local conserve to interest beekeeper's every in is it.	7.404809951782227	1643.8723913698702
2	crops for way make to cleared be vegetation native that require not does it agriculture of form passive a as.	7.5686116218566895	1936.4498896478538
3	honeybees the kill could they because crops on pesticides of use the discourage also beekeepers.	6.601080894470215	735.8901791397973
4	effort the worth is product their but craft their for extremes to go beekeepers artisanal.	7.251219749450684	1409.823431227073
5	consistency and quantity over character and quality emphasizes honey-making artisanal.	5.810458183288574	333.7720194067023
6	honeybees their of micromanagers become beekeepers honey finest the produce to.	7.247305870056152	1404.316336432099
7	honey extract to ways best the select and flows nectar when know fields the scout they.	7.7306413650512695	2277.062160643063
8	air the fills bees 40000 of hum deep the hive the opens beekeeper the as.	8.077048301696777	3219.715567932901
9	nursery bee the and supplies pollen stores honey checks beekeeper the.	7.153469085693359	1278.5336134369309
10	gentle they're because sting don't they but hands and arms bare his across crawl bees.	7.249044895172119	1406.7606025159744
11	college in longer no i'm though even exams about dream recurring a have i.	8.134369850158691	3409.6667906755424
12	class to gone never i've realize suddenly i and exam final my of day the it's dream my in.	7.157758712768555	1284.0298257643472
13	assignments reading the of any done even never i've.	6.939896583557129	1032.6634150609925
14	nightmare same the have who people other many know i.	7.909273624420166	2722.412254185578
15	night previous the from experience dream their down write to had study the in participants morning each.	8.057723999023438	3158.0941230910157
16	intensity emotional its and dream each described and dreams any recalled they if recorded they.	8.152286529541016	3471.3072445780786
17	nightmare a or dream bad a dream flying a as such category a to dream each assigned then participants.	7.318406581878662	1507.7994995628621
18	awake are we when as active as are minds our sleep we while night every.	7.1779608726501465	1310.2337988168172
19	each minutes ninety about of cycles in night the throughout dream we.	8.428658485412598	4576.356723870715
20	dreams our fill can places and characters of combinations strange and stories feelings images.	7.422181606292725	1672.678656441956
21	worse to bad from went things cards playing start to decided i when.	7.800869464874268	2442.724918093456
22	it doing $10000 to close spent already had i and do to had i something was gambling.	7.24267578125	1397.8292565494762
23	away savings my gamble me watching of sick were friends my.	8.571961402893066	5281.478745331819
24	have not did i money losing after casino a leaving of horror the was part hardest the.	7.929975986480713	2779.3600614991765
25	by come to hard are gambling legalized of effects economic and social the on data good.	7.592408180236816	1983.083390308192
26	likely more problems gambling makes nearby casino a having that indicate studies some.	9.252961158752441	10435.420948471612
27	problems marriage and bankruptcies personal with associated be also may gambling.	7.904973983764648	2710.7319882438874
28	gambling legalized of expansion dramatic a been has there generation past the over.	8.056112289428711	3153.0082920340524
29	well as casinos have many and lotteries instituted have states most.	7.437634468078613	1698.727071469013
30	business controversial but big very become has gambling.	9.103652954101562	8988.06579955838
31	kitchen the in window a shattering house the shook hurricane the from wind the.	6.6682515144348145	787.0183105687088
32	hurricane the to kitchen the surrendered and door the slammed food some grabbed in ran we.	7.754184722900391	2331.3079078228407
33	foundation its from ripped be would house our afraid was i.	8.790013313293457	6568.319620851373
34	sofa the on huddled asleep fell we house the shaking wind the with night that later.	7.179715156555176	1312.5343381915109
35	foundations their off houses suck and trees of off limbs tear can hurricanes.	8.452138900756836	4685.082953739399
36	mudslides and floods trigger can that rains heavy dump they.	7.109074115753174	1223.0146517084838
37	land onto lurches that water ocean of wall a surge storm a bring also can hurricanes.	8.163105964660645	3509.068738745962
38	hurricanes ancient of evidence for look to methods several use scientists.	7.900902271270752	2699.717106872627
39	lakes coastal of bottoms the at sand beach windblown of layers deposited storms strongest the.	7.529524803161621	1862.2203720341643
40	rings growth their in storm each of record a preserve hurricanes passing by drenched trees.	8.22593879699707	3736.6276919380957
41	preferences different have countries different but world the around exported is cream ice american.	7.223705768585205	1371.5623473487396
42	delicacies local with flavored cream ice their enjoy people many.	7.597835540771484	1993.8755588411145
43	mangos fresh and bananas with topped is cream ice vanilla places tropical some in.	8.056509971618652	3154.262436635489
44	child a as home at cream ice making remember i.	8.704730033874512	6031.373453636364
45	cold the to it expose to crank the turning start then tub frozen a into mixture cream the poured we.	8.036080360412598	3090.4758673478823
46	more any crank hand the turn couldn't i that enough froze it eventually.	8.315505981445312	4086.752735319885
47	harden to freezer the into cream ice half-frozen of container the put i then.	6.902690887451172	994.9484108785682
48	air whipped-in half to up and flavorings sugar cream or milk of mixture a is cream ice.	6.973977565765381	1068.4641962399792
49	silky and smooth it makes what is cream and milk in butterfat the.	5.8256964683532715	338.8970819955385
50	flavorings natural and butterfat with loaded is cream ice premium high-priced.	7.101305961608887	1213.550890939732
51	hurt back my makes chair uncomfortable the mower lawn riding the use i when.	7.581204891204834	1960.9903225055236
52	machine the control to me of front in levers two the use i.	7.34303617477417	1545.3970935298335
53	grass of blade each sever precisely mower lawn the underneath blades sharp the.	7.704598903656006	2218.5273605676934
54	patience me taught has it and task long a is lawn the mowing.	7.129931449890137	1248.7913591942106
55	height even an to grass cut that blades revolving with machine a is mower lawn a.	7.443986415863037	1709.5516392766272
56	motor a have may machine the or muscle by powered be may blades the.	7.267724514007568	1433.2853188956572
57	engine gas small a is mowers lawn for source power common most the.	8.008880615234375	3007.5486238050735
58	emissions create not do they because environment the for better are lawnmowers electric.	6.999008655548096	1095.5465559187505
59	run to expensive less are and maintenance less need also they.	7.641750812530518	2083.3882475324326
60	toaster ordinary an as electricity much as use mowers lawn electric.	7.480900764465332	1773.83786664044
61	spacewalks their for time long a train astronauts.	7.0331010818481445	1133.5403668080507
62	underwater conducted is training their of much.	7.774799346923828	2379.865724802694
63	space in floating spend will they hour every for pool the in hours 10 to 8 spend may they.	7.462917327880859	1742.2232872650834
64	station space the of outside the on work repair and construction perform to able be to practice astronauts.	7.283902645111084	1456.6617805626506
65	pilots test military as backgrounds have many and pilots always are flights shuttle of commanders the.	7.428427696228027	1683.1590544440096
66	space in experiments run can who scientists and engineers doctors as trained are astronauts other.	7.287211894989014	1461.4902232374188
67	diverse more much are now astronauts but men young all were crews early.	7.606276035308838	2010.7760786408226
68	shuttle space the of exterior the to together out floated astronauts of team the.	7.395581245422363	1628.7713644266817
69	telescope huge the on part broken the repair to needed tools carried they.	7.207393646240234	1349.3707426896785
70	place into part replacement the fitted other the while pipe the on bolts the loosened astronaut one.	7.401750087738037	1638.8500531010068
71	artists experimental by time long a for art in used been have computers.	7.283667087554932	1456.3186932834678
72	world art mainstream the entered have graphics computer widespread and affordable more are computers that now.	7.983762741088867	2932.9462447953947
73	technology graphics latest the showcase that exhibitions art have conferences science computer some.	8.278040885925293	3936.4748194740214
74	cultures two the bridging to devoted are that up sprung have conferences new brand.	8.153348922729492	3474.997097440046
75	procedures surgical and conditions medical visualize to doctors with works specialist graphics computer the.	7.749579429626465	2320.5962353238874
76	body patient's a within structures understand doctors help to animation digital uses she.	8.921769142150879	7493.334283573194
77	x-rays at squinting than clearer much is screen a on animation an in structures internal the seeing.	7.287834644317627	1462.4006487467288
78	education for tool powerful a is animation digital modern.	8.97970199584961	7940.265530810782
79	students help actually graphics if ask must we broadens graphics computer of field the as.	7.632472991943359	2064.1483353957174
80	classroom the in effective be can imagery digital engaging and vivid that suggest does research.	7.997289180755615	2972.8880917193524
81	cliche was place first the in school law to came he reason the.	7.301283836364746	1482.2016109262215
82	better the for things change to wanted he.	8.076626777648926	3218.358666397181
83	all-nighter an pulled had director program the and he when school law at evening one recalled he.	7.378474712371826	1601.1456966286041
84	sunrise at families evicted several for petition a drafting finished finally they.	8.540943145751953	5120.171152778814
85	relentlessly up gone has education legal of cost the decades four past the over.	7.92925500869751	2777.356926837878
86	1970s the since four of factor a by increased tuition school law private.	8.072044372558594	3203.6445819572086
87	crash eventually could lawyers new for and school law to admission for market the.	8.021440505981445	3045.5613239066893
88	law practicing actually in experience minimal have often faculty school law.	8.51469898223877	4987.54449388871
89	journals prestigious for articles review law writing on focus professors.	8.061540603637695	3170.1703501263814
90	england feudal in law property like topics on classes with theoretical the emphasize often schools law.	8.310997009277344	4068.367162147307
91	care preventive in involved increasingly are pharmacists.	8.248409271240234	3821.5419471439222
92	often pharmacies to go people because advisers health front-line becoming are they.	7.97945499420166	2920.3390285829
93	health public about information of source good a often are pharmacists.	7.533388614654541	1869.4295590108763
94	effects side and interactions drug about lot a know they because pharmacists with consult doctors.	7.7756218910217285	2381.82407461255
95	medications of use safe the about advice offer and patients to drugs prescription dispense pharmacists.	6.456541538238525	636.8547058311618
96	vaccines provide and screenings wellness and health conduct also they.	7.649087905883789	2098.730476452225
97	licensed be to order in exams two pass and degrees professional have must pharmacists.	7.839444160461426	2538.7932798792003
98	pharmacist a be to chose i as much as me chose profession pharmacy the think i.	6.5044050216674805	668.0780591118395
99	child a as pharmacies in bottles arranged neatly the by fascinated was i.	8.33869457244873	4182.62606072547
100	patients my of lives on have i that impact the love i but cliche it's know i.	6.691582202911377	805.5958604406944
101	situations stressful potentially to response own her or his has person each.	7.869259834289551	2615.6288727278725
102	stressful fulltime working find may another while unemployment by devastated be may person one.	8.060063362121582	3165.490700209603
103	traffic in stuck being like stresses everyday are there.	7.83305025100708	2522.612250668315
104	child a of loss or divorce as such stresses traumatic also are there.	7.899200439453125	2695.1265496876413
105	stress of levels different to adapt can people some.	8.273062705993652	3916.9270360876512
106	health on toll real a take can stress though effectively with dealt not if.	8.808626174926758	6691.719696862324
107	beneficial or harmful be will it if determines that stress to reaction your it's that remember.	6.907198429107666	999.4433051376461
108	worried and stressed incredibly felt i downsizing was company my when.	7.27925968170166	1449.9142296530504
109	times at dizzy felt even i and reason no for race would heart my.	8.030915260314941	3074.5544035172284
110	level stress my manage to try to yoga taking started i then.	8.16663646697998	3521.4794091260856
111	stripes satin with tuxedo black jet a wore man the.	6.571664333343506	714.5581169165915
112	style latest the in cut fabric rich with made was it.	8.057168006896973	3156.3387356599574
113	perfectly man the fit it as tailored it had he clearly.	6.995821952819824	1092.0609314942183
114	event formal a for out picked have would stylist professional a something like looked it.	7.728852272033691	2272.9919267300875
115	attire wedding in statements personal making are grooms today's preferred still is tuxedo the while.	6.766369819641113	868.1546088912005
116	men for fashion wedding of edge cutting the on are jackets shorter.	8.311200141906738	4069.1936642082233
117	ties satin and shirts colorful with tuxedos their up jazzing also are grooms.	6.476487636566162	649.6850042392476
118	lapels silk black with jacket dinner tailless a is jacket tuxedo a.	6.545505046844482	696.1081574138876
119	jacket tuxedo the to match perfect a be should trousers tie black.	6.689379692077637	803.823479391182
120	lapels jacket the match and black be should tie the and white plain be always should shirt the.	6.701450347900391	813.5849511150693
121	adulthood in blind went pianist concert the.	7.830183029174805	2515.389720994227
122	eyes the damaged slowly that condition genetic a by caused was blindness her.	8.695067405700684	5973.375193643509
123	pianist a to advantage an was blind being that interviewers told she.	7.579531669616699	1957.7118946967528
124	music her on fully more concentrate could she so distractions visual no had she.	8.249248504638672	3824.7504589363066
125	life of activities ordinary the for insufficient vision as blindness defines government the.	8.37980842590332	4358.1739329886195
126	blind legally the on focused be can resources blindness legal of parameters the establishing by.	8.578653335571289	5316.940567262144
127	standard the meet not do who but problems vision have who those overlook may this.	8.14833927154541	3457.632106706214
128	deficiencies nutritional and disease infectious by caused usually is children in blindness countries developing in.	7.891172885894775	2673.5778842156988
129	supplements vitamin and medicine by prevented be often can causes these.	7.733169078826904	2282.8252026263012
130	problems genetic by caused be to likely more is blindness countries developed in.	8.043354034423828	3113.036932795735
131	brain your to mouth your from gets taste a how exactly knows really one no.	7.678271293640137	2160.8810124208835
132	cell bud taste a touches food of molecule a when begins process the think scientists.	8.709678649902344	6061.294377499965
133	cell the beneath nerves taste to message taste a carries cell the.	8.398360252380371	4439.780655894385
134	tastes basic four the of one to responded bud taste each that believed once was it.	7.308969020843506	1493.636487026509
135	sweet something eating were you if only respond would tongue the of tip the on bud taste a is that.	7.361892223358154	1574.8136445807531
136	tastes basic the of all to sensitive be can bud taste single a that think now scientists.	7.400748252868652	1637.2090181323993
137	flavors strong very with foods eat to tend i so good very isn't taste of sense my.	6.661299228668213	781.5657103498069
138	bitter very it's so cream no with coffee my drink i and sauce hot of lots like i.	6.654348850250244	776.1523670886427
139	sugar extra add i cookies make i when so well sweetness taste even can't i.	6.833693504333496	928.6143272456162
140	individuals aging for problem real a are fractures hip.	8.398713111877441	4441.3475510943945
141	healing of process difficult the and break the of pain the with faced are patients.	6.682070255279541	797.9694035346976
142	independence of loss patient's the to adjust to have families.	7.580807209014893	1960.210626625474
143	hospital the in time and expense substantial involve fractures hip society for and.	8.596606254577637	5413.257165725344
144	fingers their snapping someone like sound a heard i race the through halfway.	8.244914054870605	3808.2081470057005
145	broken was foot my that instantly knew i and crunch a felt i.	7.718342304229736	2249.2279528077484
146	spikes on running like felt step every.	8.361617088317871	4279.6096806947635
147	fracture the showed clearly x-ray the afterward office doctor's the at.	6.49564790725708	662.2531649697835
148	fracture bone of types different few a are there.	7.242851257324219	1398.0745636619788
149	intact is skin the but broken is bone the fractures simple or closed in.	6.930878639221191	1023.392777738379
